idle key 0, kHeadAttitude=-12000
station   x_mm    y_mm    rz_mm
   0       -8     456     134
   1      -56     482     223
   2     -103     507     260
   3     -152     535     279
   4     -200     561     285
   5     -254     579     288
   6     -300     607     292
   7     -346     638     295
   8     -400     662     297
   9     -431     706     300
  10     -457     754     303
  11     -469     812     300
  12     -495     876     296
  13     -526     950     291
  14     -563     980     287
  15     -616     969     278
  16     -679     951     263
  17     -717     918     247
  18     -739     867     232
  19     -759     813     216
  20     -762     759     199
  21     -757     703     183
  22     -751     646     167
  23     -730     597     157
  24     -687     560     153
  25     -642     524     148
  26     -614     479     144
  27     -589     426     141
  28     -567     372     140
  29     -566     320     140
  30     -567     249     139
