idle key 0, kHeadAttitude=0
station   x_mm    y_mm    rz_mm
   0      -17    1201     134
   1      -65    1177     223
   2     -114    1152     260
   3     -163    1127     279
   4     -211    1105     285
   5     -262    1086     288
   6     -313    1067     292
   7     -365    1050     295
   8     -417    1037     297
   9     -470    1021     300
  10     -522    1006     303
  11     -579     999     300
  12     -633     980     296
  13     -695     960     291
  14     -734     926     287
  15     -756     877     278
  16     -776     823     263
  17     -782     770     247
  18     -779     713     232
  19     -776     656     216
  20     -758     605     199
  21     -719     565     183
  22     -675     527     167
  23     -649     481     157
  24     -627     428     153
  25     -607     374     148
  26     -606     320     144
  27     -609     251     141
  28     -616     183     140
  29     -648     151     140
  30     -699     147     139
