idle key 0, kHeadAttitude=0
station   x_mm    y_mm    rz_mm
   0      -17    1179      59
   1      -33    1171     133
   2      -57    1159     187
   3      -93    1140     227
   4     -137    1117     242
   5     -187    1096     244
   6     -243    1074     248
   7     -304    1054     250
   8     -374    1042     253
   9     -441    1021     256
  10     -508    1001     253
  11     -580     981     241
  12     -633     958     230
  13     -695     938     217
  14     -734     904     199
  15     -756     855     183
  16     -776     801     164
  17     -782     748     152
  18     -779     691     141
  19     -776     634     129
  20     -758     583     125
  21     -719     543     123
  22     -675     505     120
  23     -649     459     119
  24     -627     406     119
  25     -607     352     118
  26     -606     298     117
  27     -609     229     117
  28     -616     161     117
  29     -648     129     117
  30     -699     125     116
