zixxtrixx-attack sequence_crc32c=0x41978614
zixxtrixx-balance sequence_crc32c=0x76514216
zixxtrixx-damage sequence_crc32c=0xA34493B9
zixxtrixx-death sequence_crc32c=0x8CAFA5EC
zixxtrixx-death2 sequence_crc32c=0xDF9F317D
zixxtrixx-fall sequence_crc32c=0x6CBF32A5
zixxtrixx-hit sequence_crc32c=0x0486A703
zixxtrixx-hitfloor sequence_crc32c=0x972E503D
zixxtrixx-idle sequence_crc32c=0xDC24A56E
zixxtrixx-jump-multi sequence_crc32c=0x2D545332
zixxtrixx-jump-one sequence_crc32c=0xD1137595
zixxtrixx-knockdown sequence_crc32c=0xB8B0BB3B
zixxtrixx-look sequence_crc32c=0x91B75A37
zixxtrixx-run sequence_crc32c=0x035CF25B
zixxtrixx-salto-dummy sequence_crc32c=0xD0C2F422
zixxtrixx-salto-fly sequence_crc32c=0x1943A4A3
zixxtrixx-salto-nine sequence_crc32c=0x33DF79DB
zixxtrixx-salto-six sequence_crc32c=0x476C8D02
zixxtrixx-slow-taunt sequence_crc32c=0x81F08F80
zixxtrixx-taunt sequence_crc32c=0x8DFA6850
zixxtrixx-walk sequence_crc32c=0xCAFED0DF
