meshcheck: 1776 verts, 1106 shared-position groups, 0 with DISAGREEING binds
clip slot 1: worst seam split 0 mm (key -1)
clip slot 2: worst seam split 0 mm (key -1)
clip slot 3: worst seam split 0 mm (key -1)
clip slot 4: worst seam split 0 mm (key -1)
clip slot 5: worst seam split 0 mm (key -1)
clip slot 6: worst seam split 0 mm (key -1)
clip slot 7: worst seam split 0 mm (key -1)
clip slot 8: worst seam split 0 mm (key -1)
clip slot 45: worst seam split 0 mm (key -1)
clip slot 10: worst seam split 0 mm (key -1)
clip slot 11: worst seam split 0 mm (key -1)
clip slot 12: worst seam split 0 mm (key -1)
clip slot 13: worst seam split 0 mm (key -1)
clip slot 14: worst seam split 0 mm (key -1)
clip slot 15: worst seam split 0 mm (key -1)
clip slot 16: worst seam split 0 mm (key -1)
clip slot 17: worst seam split 0 mm (key -1)
clip slot 20: worst seam split 0 mm (key -1)
clip slot 21: worst seam split 0 mm (key -1)
clip slot 22: worst seam split 0 mm (key -1)
clip slot 23: worst seam split 0 mm (key -1)
clip slot 24: worst seam split 0 mm (key -1)
clip slot 25: worst seam split 0 mm (key -1)
clip slot 26: worst seam split 0 mm (key -1)
clip slot 27: worst seam split 0 mm (key -1)
clip slot 28: worst seam split 0 mm (key -1)
clip slot 30: worst seam split 0 mm (key -1)
clip slot 44: worst seam split 0 mm (key -1)
clip slot 31: worst seam split 0 mm (key -1)
clip slot 33: worst seam split 0 mm (key -1)
clip slot 34: worst seam split 0 mm (key -1)
clip slot 35: worst seam split 0 mm (key -1)
clip slot 46: worst seam split 0 mm (key -1)
clip slot 47: worst seam split 0 mm (key -1)
clip slot 48: worst seam split 0 mm (key -1)
clip slot 32: worst seam split 0 mm (key -1)
clip slot 36: worst seam split 0 mm (key -1)
clip slot 29: worst seam split 0 mm (key -1)
clip slot 37: worst seam split 0 mm (key -1)
clip slot 38: worst seam split 0 mm (key -1)
clip slot 39: worst seam split 0 mm (key -1)
clip slot 40: worst seam split 0 mm (key -1)
clip slot 41: worst seam split 0 mm (key -1)
clip slot 42: worst seam split 0 mm (key -1)
clip slot 43: worst seam split 0 mm (key -1)
meshcheck: OK
