light-trace slot=28 ticks=192 m=19 v=39 b=8/9 w=33 max_old_new=19000 max_jump_old=2263 max_jump_new=2228
tick,key,sub,legacy,normalised,face_inward,face_outward
0,0,0,3934,0,38455,0
1,0,1,3934,0,38455,0
2,1,0,3934,0,38455,0
3,1,1,3934,0,38455,0
4,2,0,3934,0,38455,0
5,2,1,3934,0,38455,0
6,3,0,3934,0,38455,0
7,3,1,3934,0,38455,0
8,4,0,3934,0,38455,0
9,4,1,4018,0,38550,0
10,5,0,4212,0,38746,0
11,5,1,4570,0,39004,0
12,6,0,5069,0,39611,0
13,6,1,5697,0,40196,0
14,7,0,6418,0,40784,0
15,7,1,7193,0,41504,0
16,8,0,8032,0,42218,0
17,8,1,8932,0,42867,0
18,9,0,9868,0,43769,0
19,9,1,10833,0,44401,0
20,10,0,11789,0,45084,0
21,10,1,12722,0,45738,0
22,11,0,13621,0,46386,0
23,11,1,14504,0,46966,0
24,12,0,15343,0,47507,0
25,12,1,16129,0,47989,0
26,13,0,16832,0,48405,0
27,13,1,17451,0,48840,0
28,14,0,17980,0,49131,0
29,14,1,18401,0,49412,0
30,15,0,18713,0,49518,0
31,15,1,18910,0,49739,0
32,16,0,19000,0,49745,0
33,16,1,18982,0,49739,0
34,17,0,18879,0,49653,0
35,17,1,18733,0,49604,0
36,18,0,18534,0,49462,0
37,18,1,18309,0,49319,0
38,19,0,18049,0,48958,0
39,19,1,17783,0,48491,0
40,20,0,17492,0,47885,0
41,20,1,17186,0,47084,0
42,21,0,16873,0,46213,0
43,21,1,16569,0,45159,0
44,22,0,16277,0,43985,0
45,22,1,16019,0,42618,0
46,23,0,15776,0,41066,0
47,23,1,15526,0,39389,0
48,24,0,15316,0,37562,0
49,24,1,15168,0,35476,0
50,25,0,15059,0,33189,0
51,25,1,14965,64,30970,0
52,26,0,14917,1737,28510,0
53,26,1,14929,3542,25915,0
54,27,0,14993,5460,23109,0
55,27,1,15128,7532,20128,0
56,28,0,15308,9651,16915,0
57,28,1,15511,11730,13885,0
58,29,0,15762,13839,10572,0
59,29,1,16082,16026,7394,0
60,30,0,17539,18237,4078,0
61,30,1,19795,20465,779,0
62,31,0,22058,22691,0,2547
63,31,1,24251,24844,0,5907
