entry=1000 squash=1000 anchor=(-1346,-450) root=(-1346,-450) support_base=(-1239,144) support_posed=(106,846) raw_dx=-1346 raw_dy=-703
  seg     x_mm     y_mm   head_a16   r_mm
   0    -1346      633     -1820     41
   1    -1504      661      -728    125
   2    -1664      672         0    161
   3    -1824      672      3277    166
   4    -1976      623      7646    168
   5    -2095      516     14199    164
   6    -2128      359     20025    158
   7    -2073      209     23848    156
   8    -1968       88     32040    155
   9    -1809       77     37319    153
  10    -1664      145     51063    151
  11    -1693      302     38865    148
  12    -1559      390     33132    145
  13    -1400      396     32768    142
  14    -1240      396     25848    138
  15    -1113      297     22572    121
  16    -1024      165     19296     96
  17     -980       11      2184     73
  18    -1137      -23      1092     46
  19    -1296      -39         0     23
