frame,area,cx,cy,solidity,hole_pct,closure,spine_px,shape_rate_pct,half_life,head_found,head_x,head_y,weber
0,4786,183.07,134.18,0.566,5.29,0.788,820,0.00,94,1,251.03,110.06,0.064
1,4779,183.06,134.21,0.565,5.44,0.791,810,0.56,92,1,251.33,110.03,0.062
2,4770,183.10,134.23,0.564,5.56,0.797,797,0.52,91,1,250.91,110.00,0.062
3,4762,183.32,134.26,0.565,5.54,0.794,805,0.92,90,1,250.95,109.99,0.061
4,4767,183.41,134.26,0.565,5.60,0.793,810,0.82,89,1,251.66,109.85,0.060
5,4768,183.65,134.22,0.564,5.54,0.795,818,0.65,88,1,251.54,109.81,0.061
6,4758,183.65,134.25,0.562,5.53,0.792,804,0.88,87,1,251.26,109.90,0.060
7,4770,183.63,134.23,0.563,5.30,0.793,819,0.92,86,1,251.58,109.83,0.064
8,4773,183.77,134.18,0.562,5.30,0.792,826,1.02,86,1,251.74,109.54,0.062
9,4783,183.80,134.17,0.562,5.16,0.792,835,0.46,85,1,251.64,109.57,0.059
10,4788,183.64,134.15,0.562,5.14,0.789,818,0.56,84,1,251.65,109.54,0.059
11,4788,183.86,134.13,0.563,5.16,0.794,862,1.29,83,1,251.75,109.47,0.063
12,4819,183.61,134.02,0.565,4.88,0.781,843,1.59,83,1,250.96,109.49,0.057
13,4811,183.72,134.05,0.564,5.11,0.793,856,0.99,81,1,251.29,109.44,0.056
14,4805,183.65,134.08,0.564,5.22,0.781,853,0.58,80,1,251.74,109.50,0.059
15,4587,184.17,133.66,0.541,5.73,0.774,809,9.92,75,1,251.55,109.46,0.032
16,4576,184.46,133.57,0.544,5.66,0.765,799,2.82,75,1,251.03,109.44,0.031
17,4582,184.58,133.43,0.549,5.50,0.781,823,2.97,74,1,251.61,109.31,0.039
18,4597,184.32,133.34,0.546,5.48,0.764,826,2.60,75,1,251.28,109.44,0.044
19,4614,184.48,133.31,0.549,5.24,0.759,800,2.47,74,1,251.22,109.36,0.047
20,4596,184.42,133.37,0.549,5.22,0.762,782,2.11,79,1,250.75,109.35,0.049
21,4656,183.83,133.22,0.551,5.09,0.754,760,9.32,72,1,250.57,109.34,0.048
22,4639,184.20,133.12,0.551,5.13,0.758,780,3.16,79,1,251.01,109.33,0.045
23,4629,184.31,133.17,0.556,5.12,0.758,763,1.80,78,1,250.56,109.37,0.046
24,4631,184.22,132.78,0.547,5.38,0.782,802,5.13,71,1,250.35,109.47,0.030
25,4637,184.41,132.73,0.555,4.92,0.768,760,3.10,79,1,250.08,109.47,0.039
26,4622,184.21,132.45,0.549,5.43,0.770,779,4.13,72,1,250.26,109.42,0.029
27,4623,184.39,132.31,0.554,5.28,0.776,858,4.63,72,1,250.38,109.48,0.037
28,4641,184.02,132.14,0.553,5.28,0.774,816,4.10,73,1,250.71,109.39,0.041
29,4633,184.57,132.03,0.556,5.09,0.750,762,7.19,73,1,250.26,109.45,0.044
30,4628,184.53,131.88,0.556,5.36,0.735,801,4.33,73,1,250.25,109.48,0.038
31,4633,184.57,131.72,0.561,5.09,0.762,844,3.88,73,1,250.44,109.41,0.038
