key   arm  entry squash   head_x  head_y   move_mm
  0     0      0      0        0       0         0
  1     0      0      0        2       1         2
  2     0      0      0        5       3         3
  3     0      0      0        8       6         4
  4     0      0      0       11      10         5
  5     0      0      0       11      11         1
  6     4     10      0       10       9         2
  7     9     22      0        9       6         3
  8    16     40      0        8       2         4
  9    26     65      0        7      -7         9
 10    36     90      0        4     -13         6
 11    48    120      0        3     -22         9
 12    62    155      0        2     -31         9
 13    76    190      0        1     -37         6
 14    92    230      0        1     -44         7
 15   108    270      0        1     -51         7
 16   126    315      0        1     -56         5
 17   144    360      0        2     -62         6
 18   162    405      0        2     -64         2
 19   180    450      0        4     -67         3
 20   200    500      0        5     -68         1
 21   218    545      0        6     -68         1
 22   236    590      0        9     -72         5
 23   254    635      0       13     -73         4
 24   273    682      0       16     -69         5
 25   290    725      0       19     -64         5
 26   306    765      0       20     -56         8
 27   322    805      0       18     -49         7
 28   337    842      0       13     -41         9
 29   350    875      0        5     -36         9
 30   362    905      0       -6     -35        11
 31   373    932      0      -18     -36        12
 32   382    955      0      -30     -39        12
 33   390    975      0      -43     -45        14
 34   395    987      0      -52     -52        11
 35   398    995      0      -60     -61        12
 36   400   1000      0      -66     -69        10
 37   400   1000      0      -69     -76         7
 38   400   1000      0      -69     -82         6
 39   400   1000      0      -66     -86         5
 40   400   1000      0      -61     -88         5
 41   401   1000      1      -54     -87         7
 42   406   1000     10      -47     -85         7
 43   414   1000     23      -38     -81         9
 44   425   1000     41      -30     -76         9
 45   439   1000     65      -24     -70         8
 46   454   1000     90      -19     -64         7
 47   472   1000    120      -17     -59         5
 48   493   1000    155      -17     -56         3
 49   515   1000    191      -19     -54         2
 50   538   1000    230      -23     -58         5
 51   563   1000    271      -30     -64         9
 52   589   1000    315      -39     -75        14
 53   616   1000    360      -49     -92        19
 54   643   1000    405      -60    -111        21
 55   671   1000    451      -71    -134        25
 56   700   1000    500      -82    -162        30
 57   727   1000    545      -92    -191        30
 58   755   1000    591     -102    -221        31
 59   782   1000    636     -111    -251        31
 60   809   1000    681     -119    -282        32
 61   835   1000    725     -127    -310        29
 62   860   1000    766     -132    -334        24
 63   883   1000    805     -137    -356        22
 64   905   1000    841     -141    -372        16
 65   926   1000    876     -144    -385        13
 66   944   1000    906     -145    -392         7
 67   959   1000    931     -145    -394         2
 68   974   1000    956     -145    -394         0
 69   985   1000    975     -145    -390         4
 70   992   1000    986     -144    -382         8
 71   997   1000    995     -143    -374         8
 72  1000   1000   1000     -142    -367         7
 73  1000   1000   1000     -143    -359         8
 74  1000   1000   1000     -146    -354         5
 75  1000   1000   1000     -150    -351         5
 76  1000   1000   1000     -156    -352         6
 77  1000   1000   1000     -162    -356         7
 78  1000   1000   1000     -170    -362        10
 79  1000   1000   1000     -178    -370        11
 80  1000   1000   1000     -185    -380        12
 81  1000   1000   1000     -191    -390        11
 82  1000   1000   1000     -197    -400        11
 83  1000   1000   1000     -201    -409         9
 84  1000   1000   1000     -204    -416         7
 85   659   1000    433     -124    -201       229
 86   380    950      0      -58     -95       124
 87   160    400      0       -1     -50        72
 88     0      0      0        0       0        50
 89     0      0      0        0       0         0
 90     0      0      0        0       0         0
