frame,area,cx,cy,solidity,hole_pct,closure,spine_px,shape_rate_pct,half_life,head_found,head_x,head_y,weber
0,2358,185.97,129.99,0.562,5.64,0.797,553,0.00,89,1,235.40,112.93,0.101
1,2357,186.02,129.97,0.563,5.52,0.787,539,1.22,88,1,235.40,112.93,0.106
2,2369,185.97,129.99,0.565,5.07,0.786,513,1.51,87,1,235.57,112.79,0.110
3,2361,185.98,129.99,0.563,5.42,0.786,525,0.93,86,1,235.69,112.69,0.109
4,2357,186.09,130.00,0.563,5.47,0.773,511,0.93,85,1,235.67,112.58,0.109
5,2356,186.11,129.97,0.563,5.39,0.780,504,1.14,84,1,235.73,112.64,0.104
6,2350,186.29,130.01,0.563,5.15,0.782,509,1.69,83,1,236.00,112.82,0.108
7,2349,186.57,129.97,0.561,5.58,0.789,549,1.90,82,1,236.00,112.82,0.098
8,2359,186.59,129.92,0.563,5.47,0.793,535,1.01,81,1,236.00,112.82,0.101
9,2339,186.89,129.96,0.565,6.16,0.793,575,1.77,81,1,235.67,113.00,0.098
10,2344,186.99,129.97,0.567,6.02,0.776,587,1.40,80,1,236.00,112.80,0.103
11,2361,186.67,129.94,0.563,5.55,0.787,545,1.64,79,1,235.78,112.56,0.108
12,2362,186.76,129.90,0.563,5.33,0.774,540,1.30,76,1,235.60,112.50,0.110
13,2364,186.66,129.89,0.563,5.33,0.780,517,1.09,75,1,235.60,112.50,0.111
14,2361,186.78,129.90,0.563,5.51,0.777,514,1.05,74,1,235.60,112.50,0.111
15,2287,187.30,129.79,0.549,5.82,0.760,520,11.29,75,1,235.92,112.58,0.058
16,2286,187.31,129.84,0.547,5.77,0.754,503,0.83,73,1,236.56,112.67,0.054
17,2274,187.89,129.87,0.547,5.80,0.754,511,11.02,73,1,236.56,112.67,0.057
18,2282,187.87,129.88,0.549,5.43,0.767,494,0.79,72,1,236.64,112.36,0.063
19,2285,187.66,129.85,0.547,5.73,0.775,513,1.87,70,1,236.42,112.25,0.056
20,2282,187.67,129.88,0.554,5.83,0.779,516,1.18,70,1,236.15,112.23,0.057
21,2267,188.03,129.91,0.558,6.57,0.765,553,3.33,69,1,236.15,112.23,0.053
22,2268,187.93,129.91,0.559,6.31,0.767,546,1.10,68,1,236.15,112.23,0.058
23,2293,186.85,129.43,0.541,5.71,0.768,500,11.76,68,1,236.62,111.25,0.057
24,2298,186.43,129.10,0.537,5.18,0.754,514,14.80,69,1,236.27,110.20,0.060
25,2301,186.08,129.07,0.534,4.78,0.771,481,2.36,67,1,235.82,110.12,0.062
26,2305,186.15,129.04,0.535,5.08,0.742,507,3.25,66,1,236.00,110.13,0.064
27,2304,186.29,129.08,0.541,5.12,0.740,505,1.25,65,1,236.00,110.13,0.063
28,2303,186.38,129.06,0.541,5.43,0.744,530,1.17,65,1,235.87,109.93,0.059
29,2293,186.57,129.10,0.545,5.58,0.748,537,2.07,64,1,235.92,109.85,0.065
30,2293,186.57,129.13,0.552,5.15,0.748,505,2.24,63,1,236.33,109.58,0.068
31,2308,186.36,128.98,0.535,5.11,0.757,490,1.60,62,1,236.33,109.58,0.061
32,2308,186.35,128.96,0.536,5.07,0.750,500,1.46,60,1,236.33,109.58,0.058
33,2310,186.41,129.01,0.537,5.11,0.751,496,1.55,60,1,236.08,109.75,0.049
34,2300,186.38,129.07,0.534,5.35,0.743,477,1.21,59,1,236.60,109.80,0.052
35,2283,186.85,129.13,0.534,5.34,0.750,474,1.60,58,1,236.60,109.80,0.053
36,2284,187.01,129.14,0.533,5.47,0.772,498,1.87,56,1,236.08,109.69,0.053
37,2302,186.61,129.09,0.534,5.39,0.762,512,1.82,55,1,236.00,109.83,0.059
38,2281,187.04,129.20,0.544,5.83,0.759,522,2.29,54,1,236.00,109.83,0.056
39,2283,187.17,129.23,0.553,5.48,0.773,509,2.25,53,1,235.67,109.83,0.065
40,2306,187.08,129.11,0.538,4.94,0.754,508,2.45,52,1,235.50,110.07,0.061
41,2302,187.06,129.09,0.536,5.17,0.756,514,1.89,51,1,235.50,110.07,0.056
42,2295,187.63,129.21,0.538,5.01,0.747,503,10.82,51,1,235.57,110.07,0.062
43,2287,187.78,129.23,0.536,4.94,0.753,486,1.47,49,1,235.65,110.18,0.066
44,2291,187.30,129.25,0.535,5.59,0.766,507,2.93,48,1,236.07,110.20,0.062
45,2285,187.74,129.34,0.549,5.56,0.755,511,2.84,47,1,236.08,110.23,0.066
46,2293,187.75,129.42,0.551,5.67,0.767,533,2.93,45,1,235.92,110.58,0.067
47,2299,187.51,129.47,0.540,5.22,0.760,515,3.00,44,1,235.92,110.75,0.072
