frame,area,cx,cy,solidity,hole_pct,closure,spine_px,shape_rate_pct,half_life,head_found,head_x,head_y,weber
0,4786,183.07,134.18,0.566,5.29,0.788,820,0.00,9,1,253.83,110.44,0.064
1,4791,183.08,134.13,0.567,5.51,0.804,801,2.86,8,1,253.38,110.50,0.063
2,4814,183.04,133.96,0.566,5.13,0.786,839,3.54,8,1,253.06,110.33,0.073
3,4807,182.82,133.49,0.557,5.14,0.796,808,7.16,7,1,253.60,110.33,0.083
4,4764,182.71,132.78,0.556,5.16,0.801,785,9.84,6,1,253.59,109.88,0.075
5,4853,182.75,131.93,0.553,4.57,0.778,820,10.39,6,1,253.46,109.62,0.098
6,4824,182.63,131.01,0.548,5.00,0.766,843,12.24,5,1,252.81,109.43,0.087
7,4836,182.36,129.79,0.542,5.21,0.801,824,14.27,5,1,253.18,109.41,0.088
8,4843,181.86,128.35,0.537,5.02,0.796,847,18.85,5,1,252.72,109.28,0.079
9,4865,182.44,127.04,0.536,4.97,0.792,918,17.42,5,1,253.26,109.42,0.057
10,4871,182.70,125.70,0.537,5.28,0.791,910,18.83,6,1,253.86,109.50,0.044
11,4873,184.07,124.03,0.538,5.17,0.784,892,20.35,6,1,249.70,110.45,0.042
12,4836,185.09,122.17,0.541,5.07,0.774,834,18.15,5,1,241.75,109.25,0.025
13,4853,186.69,121.49,0.545,5.05,0.788,868,15.48,4,1,247.89,109.53,0.004
14,4830,188.78,121.15,0.554,5.16,0.789,805,15.63,3,1,243.81,111.56,0.005
15,4460,188.87,119.61,0.534,5.25,0.766,824,17.63,2,1,229.18,117.45,0.045
16,4188,187.97,118.81,0.519,5.21,0.780,833,25.50,1,1,239.22,114.17,0.052
17,4045,184.56,117.43,0.524,4.72,0.819,756,50.93,1,1,253.08,109.92,0.067
18,3680,188.16,110.66,0.496,5.87,0.825,862,64.35,1,1,241.73,115.85,0.185
19,3301,195.44,120.88,0.572,6.76,0.862,645,57.44,1,1,252.19,117.50,0.003
20,2768,208.15,119.54,0.624,10.84,0.820,518,56.18,1,1,254.07,111.86,0.018
21,2516,218.94,125.78,0.791,15.66,0.757,556,62.11,1,1,250.56,111.44,0.124
22,2771,229.30,128.92,0.745,29.09,0.548,495,52.48,16,1,254.08,111.69,0.131
23,2987,232.16,128.03,0.740,20.09,0.766,571,33.15,15,1,254.20,109.60,0.044
24,3085,232.68,127.37,0.824,6.90,0.199,541,27.40,14,1,252.06,111.11,0.009
25,3297,234.40,127.73,0.772,14.41,0.613,618,23.51,13,1,253.50,108.71,0.017
26,3385,236.41,127.16,0.811,13.94,0.629,705,13.98,12,1,251.26,109.68,0.002
27,3300,237.06,125.48,0.802,13.76,0.694,592,13.94,11,1,253.25,107.25,0.002
28,3159,237.44,123.45,0.795,8.01,0.093,558,16.04,10,1,252.36,107.43,0.003
