frame,area,cx,cy,solidity,hole_pct,closure,spine_px,shape_rate_pct,half_life,head_found,head_x,head_y,weber
0,1824,186.83,160.81,0.598,5.04,0.781,435,0.00,10,1,229.15,147.08,0.100
1,1810,187.20,160.72,0.600,5.36,0.776,438,3.25,9,1,229.07,147.07,0.082
2,1833,186.49,160.64,0.594,5.35,0.790,443,12.02,8,1,228.92,147.15,0.094
3,1819,186.76,160.56,0.596,5.55,0.817,437,5.74,7,1,229.42,147.42,0.087
4,1813,186.75,160.24,0.586,5.74,0.812,433,6.50,6,1,229.55,147.55,0.078
5,1820,186.87,160.07,0.594,5.00,0.807,422,10.19,6,1,229.55,147.55,0.100
6,1841,186.51,159.54,0.579,5.00,0.803,443,15.57,5,1,229.45,147.64,0.111
7,1856,186.18,158.83,0.576,4.47,0.801,403,15.89,5,1,229.45,147.64,0.117
8,1835,186.17,158.07,0.567,5.07,0.807,448,16.91,5,1,229.15,147.62,0.112
9,1857,186.39,157.22,0.564,4.79,0.823,427,19.20,6,1,229.36,147.64,0.108
10,1839,187.00,156.60,0.577,5.22,0.801,453,17.39,6,1,228.85,147.23,0.114
11,1831,187.64,155.76,0.566,5.57,0.801,470,18.50,6,1,229.43,147.14,0.093
12,1818,188.26,154.80,0.566,5.34,0.817,459,16.54,5,1,229.00,146.92,0.112
13,1841,189.16,154.16,0.572,5.05,0.815,446,15.57,4,1,225.64,148.36,0.102
14,1825,190.21,153.66,0.570,5.04,0.810,432,15.96,3,1,224.55,148.09,0.096
15,1724,190.20,152.96,0.557,5.10,0.751,408,17.06,2,1,224.83,148.00,0.028
16,1601,190.00,153.04,0.542,5.00,0.773,352,21.91,1,1,222.60,150.07,0.033
17,1557,188.03,152.17,0.549,4.24,0.829,339,51.74,1,1,230.31,147.62,0.012
18,1423,190.54,148.45,0.521,5.20,0.833,392,63.30,1,1,225.91,150.00,0.015
19,1279,194.00,154.46,0.601,6.41,0.851,334,55.28,1,1,228.08,152.69,0.005
20,1001,203.75,154.39,0.706,10.59,0.814,249,57.77,1,1,229.10,149.60,0.011
21,959,208.51,157.40,0.825,14.29,0.769,265,57.97,1,1,226.89,150.11,0.161
