key   arm  entry squash   head_x  head_y   move_mm
  0     0      0      0        0       0         0
  1     8     20      0       -2     -10        10
  2    36     90      0       -8     -36        26
  3    80    200      0      -16     -71        35
  4   144    360      0      -30    -111        42
  5   225    562      0      -55    -115        25
  6   312    780      0     -117    -177        87
  7   398    995      0     -197    -177        80
  8   486   1000    143     -229    -277       104
  9   572   1000    286     -376    -269       147
 10   659   1000    431     -893    -379       528
 11   745   1000    575    -1168    -281       291
 12   834   1000    723    -1219    -257        56
 13   906   1000    843    -1275    -263        56
 14   959   1000    931    -1318    -421       163
 15   990   1000    983    -1341    -458        43
 16  1000   1000   1000    -1347    -476        18
 17  1000   1000   1000    -1343    -485         9
 18  1000   1000   1000    -1339    -493         8
 19   659   1000    433     -867    -448       474
 20   380    950      0     -196    -234       704
 21   160    400      0      -34    -116       200
 22     0      0      0        0       0       120
 23     0      0      0        0       0         0
 24     0      0      0        0       0         0
