key   arm  entry squash   head_x  head_y   move_mm
  0     0      0      0        0       0         0
  1     8     20      0        0      -4         4
  2    36     90      0        1     -16        12
  3    80    200      0        2     -30        14
  4   144    360      0        4     -43        13
  5   225    562      0       19     -39        15
  6   312    780      0       37     -21        25
  7   398    995      0       38     -13         8
  8   486   1000    143       31     -35        23
  9   572   1000    286       29     -84        49
 10   659   1000    431       27    -146        62
 11   745   1000    575       26    -219        73
 12   834   1000    723       26    -299        80
 13   906   1000    843       26    -367        68
 14   959   1000    931       25    -419        52
 15   990   1000    983       24    -450        31
 16  1000   1000   1000       23    -464        14
 17  1000   1000   1000       23    -468         4
 18  1000   1000   1000       24    -469         1
 19   659   1000    433       11    -213       256
 20   380    950      0       11     -99       114
 21   160    400      0        5     -49        50
 22     0      0      0        0       0        49
 23     0      0      0        0       0         0
 24     0      0      0        0       0         0
