key   arm  entry squash   head_x  head_y   move_mm
  0     0      0      0        0       0         0
  1     0      0      0        0       0         0
  2     2      5      0       -1      -1         1
  3     4     10      0        0      -3         2
  4     8     20      0        0      -4         1
  5    14     35      0        0      -7         3
  6    20     50      0        0      -9         2
  7    27     67      0        1     -12         3
  8    36     90      0        1     -16         4
  9    45    112      0        1     -21         5
 10    56    140      0        1     -25         4
 11    67    167      0        2     -28         3
 12    80    200      0        2     -30         2
 13    95    237      0        3     -34         4
 14   110    275      0        3     -37         3
 15   126    315      0        3     -40         3
 16   144    360      0        4     -46         6
 17   162    405      0        3     -50         4
 18   182    455      0        4     -57         7
 19   202    505      0        5     -64         7
 20   225    562      0        8     -71         7
 21   247    617      0       12     -77         7
 22   268    670      0       17     -77         5
 23   290    725      0       23     -74         6
 24   312    780      0       27     -65         9
 25   333    832      0       31     -55        10
 26   355    887      0       31     -42        13
 27   376    940      0       28     -32        10
 28   398    995      0       21     -25         9
 29   420   1000     33       13     -23         8
 30   441   1000     68        3     -23        10
 31   463   1000    105       -8     -30        13
 32   486   1000    143      -18     -40        14
 33   506   1000    176      -28     -53        16
 34   529   1000    215      -36     -71        19
 35   550   1000    250      -42     -89        18
 36   572   1000    286      -45    -108        19
 37   594   1000    323      -47    -127        19
 38   615   1000    358      -45    -145        18
 39   637   1000    395      -41    -163        18
 40   659   1000    431      -36    -179        16
 41   680   1000    466      -28    -192        15
 42   702   1000    503      -18    -204        15
 43   723   1000    538       -8    -211        12
 44   745   1000    575        3    -220        14
 45   768   1000    613       13    -228        12
 46   788   1000    646       23    -234        11
 47   811   1000    685       31    -243        12
 48   834   1000    723       38    -250         9
 49   853   1000    755       43    -259        10
 50   872   1000    786       46    -268         9
 51   889   1000    815       47    -280        12
 52   906   1000    843       46    -292        12
 53   921   1000    868       44    -309        17
 54   935   1000    891       42    -325        16
 55   947   1000    911       38    -343        18
 56   959   1000    931       35    -362        19
 57   968   1000    946       32    -380        18
 58   977   1000    961       30    -399        19
 59   984   1000    973       27    -416        17
 60   990   1000    983       26    -432        16
 61   995   1000    991       26    -445        13
 62   998   1000    996       26    -453         8
 63  1000   1000   1000       27    -461         8
 64  1000   1000   1000       30    -463         3
 65  1000   1000   1000       33    -462         3
 66  1000   1000   1000       37    -458         5
 67  1000   1000   1000       41    -452         7
 68  1000   1000   1000       45    -444         8
 69  1000   1000   1000       50    -435        10
 70  1000   1000   1000       53    -426         9
 71  1000   1000   1000       55    -416        10
 72  1000   1000   1000       56    -408         8
 73   659   1000    433       48    -148       260
 74   380    950      0       38     -33       115
 75   160    400      0        5     -46        35
 76     0      0      0        0       0        46
 77     0      0      0        0       0         0
 78     0      0      0        0       0         0
