frame,area,cx,cy,solidity,hole_pct,closure,spine_px,shape_rate_pct,half_life,head_found,head_x,head_y,weber
0,4786,183.07,134.18,0.566,5.29,0.788,820,0.00,92,1,251.03,110.06,0.064
1,4786,183.07,134.18,0.566,5.29,0.788,820,0.00,91,1,251.03,110.06,0.064
2,4786,183.07,134.18,0.566,5.29,0.788,820,0.00,90,1,251.03,110.06,0.064
3,4786,183.07,134.18,0.566,5.29,0.788,820,0.00,89,1,251.03,110.06,0.064
4,4786,183.07,134.18,0.566,5.29,0.788,820,0.00,88,1,251.03,110.06,0.064
5,4786,183.07,134.18,0.566,5.29,0.788,820,0.00,87,1,251.03,110.06,0.064
6,4786,183.07,134.18,0.566,5.29,0.788,820,0.00,86,1,251.03,110.06,0.064
7,4786,183.07,134.18,0.566,5.29,0.788,820,0.00,85,1,251.03,110.06,0.064
8,4786,183.07,134.18,0.566,5.29,0.788,820,0.00,84,1,251.03,110.06,0.064
9,4786,183.07,134.18,0.566,5.29,0.788,820,0.00,83,1,251.03,110.06,0.064
10,4786,183.07,134.18,0.566,5.29,0.788,820,0.00,82,1,251.03,110.06,0.064
11,4791,183.27,134.16,0.567,5.32,0.793,839,1.64,81,1,250.80,110.04,0.063
12,4787,183.12,134.13,0.566,5.43,0.793,828,1.20,80,1,250.73,110.03,0.065
13,4789,183.09,134.10,0.568,5.30,0.793,813,1.08,80,1,250.75,110.05,0.066
14,4784,183.26,134.09,0.568,5.33,0.794,796,0.65,79,1,250.62,110.02,0.067
15,4583,183.81,133.56,0.545,5.50,0.780,774,15.39,80,1,250.66,110.01,0.033
16,4574,184.10,133.54,0.545,5.44,0.777,806,2.14,80,1,250.88,109.93,0.039
17,4581,184.08,133.37,0.548,5.46,0.775,812,2.52,79,1,250.85,109.92,0.037
18,4564,184.18,133.43,0.552,5.63,0.775,779,2.10,78,1,250.79,109.81,0.042
19,4596,184.27,133.24,0.551,5.72,0.752,783,3.73,77,1,250.73,109.46,0.037
20,4604,184.35,133.23,0.552,5.32,0.757,737,1.85,76,1,250.76,109.44,0.046
21,4618,184.20,133.18,0.554,5.28,0.768,727,2.44,75,1,250.74,109.43,0.041
22,4643,184.39,133.00,0.554,4.91,0.756,767,3.58,75,1,250.52,109.39,0.042
23,4660,184.16,132.94,0.555,4.91,0.761,768,2.40,74,1,250.57,109.37,0.040
24,4646,184.48,132.74,0.556,5.14,0.768,822,4.21,74,1,250.35,109.32,0.036
25,4669,184.06,132.61,0.555,5.10,0.762,765,2.86,74,1,246.43,109.75,0.034
