frame,area,cx,cy,solidity,hole_pct,closure,spine_px,shape_rate_pct,half_life,head_found,head_x,head_y,weber
0,4786,183.07,134.18,0.566,5.29,0.788,820,0.00,82,1,251.03,110.06,0.064
1,4786,183.07,134.18,0.566,5.29,0.788,820,0.00,81,1,251.03,110.06,0.064
2,4786,183.07,134.18,0.566,5.29,0.788,820,0.00,80,1,251.03,110.06,0.064
3,4786,183.07,134.18,0.566,5.29,0.788,820,0.00,79,1,251.03,110.06,0.064
4,4786,183.07,134.18,0.566,5.29,0.788,820,0.00,78,1,251.03,110.06,0.064
5,4786,183.07,134.18,0.566,5.29,0.788,820,0.00,77,1,251.03,110.06,0.064
6,4786,183.07,134.18,0.566,5.29,0.788,820,0.00,76,1,251.03,110.06,0.064
7,4786,183.07,134.18,0.566,5.29,0.788,820,0.00,75,1,251.03,110.06,0.064
8,4786,183.07,134.18,0.566,5.29,0.788,820,0.00,74,1,251.03,110.06,0.064
9,4786,183.07,134.18,0.566,5.29,0.788,820,0.00,73,1,251.03,110.06,0.064
10,4786,183.07,134.18,0.566,5.29,0.788,820,0.00,72,1,251.03,110.06,0.064
11,4781,183.16,134.17,0.566,5.40,0.785,834,1.02,71,1,251.05,110.05,0.060
12,4787,183.12,134.13,0.566,5.43,0.793,828,1.74,70,1,250.73,110.03,0.065
13,4784,183.26,134.09,0.568,5.33,0.794,796,1.35,70,1,250.62,110.02,0.067
14,4794,183.12,134.04,0.565,5.26,0.805,762,1.74,67,1,250.75,110.05,0.064
15,4574,184.10,133.54,0.545,5.44,0.777,806,15.23,65,1,250.88,109.93,0.039
16,4581,184.08,133.37,0.548,5.46,0.775,812,2.52,66,1,250.85,109.92,0.037
17,4569,184.41,133.46,0.557,5.41,0.766,769,2.38,63,1,251.02,109.82,0.043
18,4598,184.34,133.24,0.551,5.61,0.754,775,3.96,64,1,250.73,109.45,0.037
19,4634,184.00,133.12,0.550,5.20,0.767,708,3.11,64,1,250.76,109.42,0.044
20,4643,184.23,133.02,0.552,4.98,0.766,804,3.04,63,1,250.50,109.39,0.039
21,4660,184.16,132.94,0.555,4.91,0.761,768,2.99,63,1,250.57,109.37,0.040
22,4646,184.48,132.74,0.556,5.14,0.768,822,4.21,63,1,250.35,109.32,0.036
23,4671,184.06,132.60,0.555,5.10,0.757,769,3.06,62,1,250.54,109.34,0.035
24,4616,184.29,132.40,0.558,5.48,0.769,804,4.89,63,1,250.64,109.26,0.034
25,4601,184.38,132.22,0.554,5.56,0.757,740,4.14,63,1,250.24,109.16,0.039
26,4590,184.41,132.11,0.553,5.69,0.760,788,4.16,62,1,250.60,109.03,0.035
27,4596,184.35,131.89,0.551,5.79,0.796,782,4.39,58,1,250.30,109.06,0.029
28,4625,184.29,131.66,0.555,5.34,0.754,791,5.05,57,1,250.70,108.91,0.039
29,4631,184.23,131.57,0.556,5.16,0.755,760,3.82,56,1,250.93,108.85,0.040
30,4649,184.61,131.38,0.559,5.10,0.741,770,4.10,57,1,250.79,108.73,0.043
31,4669,184.51,131.14,0.557,5.10,0.749,797,4.65,57,1,251.02,108.74,0.039
32,4653,184.55,131.07,0.559,5.37,0.727,734,3.71,56,1,245.26,109.18,0.034
33,4649,184.45,130.81,0.560,5.42,0.758,761,4.00,73,1,251.00,108.69,0.037
34,4643,184.44,130.53,0.558,5.23,0.756,802,4.87,72,1,251.07,108.61,0.040
35,4633,184.46,130.47,0.558,5.46,0.740,788,3.18,71,1,251.57,108.75,0.036
36,4640,184.54,130.29,0.561,5.47,0.750,778,4.61,70,1,251.98,108.79,0.034
37,4660,184.93,130.11,0.561,5.28,0.744,789,4.38,69,1,250.78,108.75,0.035
38,4670,184.93,129.89,0.565,5.33,0.735,774,4.65,68,1,250.88,108.85,0.037
39,4683,185.07,129.77,0.568,5.10,0.752,765,4.00,67,1,251.12,108.83,0.041
40,4681,185.30,129.68,0.571,5.04,0.729,731,4.22,66,1,251.65,108.92,0.050
41,4668,185.49,129.59,0.567,5.29,0.743,762,3.34,64,1,252.11,108.90,0.052
42,4687,185.39,129.38,0.571,5.14,0.721,828,4.70,63,1,252.16,108.73,0.054
43,4679,185.94,129.24,0.572,5.11,0.550,840,7.32,62,1,251.64,108.75,0.043
44,4665,185.83,129.18,0.574,5.08,0.737,763,3.94,61,1,251.80,108.87,0.042
45,4648,186.08,129.10,0.576,5.42,0.574,790,3.44,59,1,252.04,108.70,0.035
46,4647,186.11,129.01,0.573,5.79,0.750,786,3.36,58,1,253.26,108.75,0.028
47,4672,186.27,128.91,0.573,5.18,0.733,787,3.73,58,1,252.49,108.62,0.030
48,4655,186.37,128.92,0.577,5.37,0.517,712,3.35,57,1,252.43,108.36,0.031
49,4668,186.54,128.78,0.573,5.57,0.727,781,3.23,56,1,253.05,108.36,0.023
50,4662,186.62,128.81,0.575,5.36,0.725,766,3.45,54,1,253.03,108.15,0.036
