key   arm  entry squash   head_x  head_y   move_mm
  0     0      0      0        0       0         0
  1     0      0      0        0       0         0
  2     0      0      0        0       0         0
  3     0      0      0        0       0         0
  4     0      0      0        0       0         0
  5     0      0      0        0       0         0
  6     4     10      0        0      -3         3
  7     9     22      0        0      -4         1
  8    16     40      0        0      -7         3
  9    26     65      0        1     -12         5
 10    36     90      0        1     -16         4
 11    48    120      0        1     -21         5
 12    62    155      0        2     -27         6
 13    76    190      0        2     -29         2
 14    92    230      0        2     -33         4
 15   108    270      0        3     -37         4
 16   126    315      0        3     -40         3
 17   144    360      0        3     -46         6
 18   162    405      0        4     -50         4
 19   180    450      0        5     -56         6
 20   200    500      0        7     -62         6
 21   218    545      0        9     -66         4
 22   236    590      0       13     -69         5
 23   254    635      0       18     -69         5
 24   273    682      0       22     -64         6
 25   290    725      0       26     -58         7
 26   306    765      0       28     -48        10
 27   322    805      0       28     -39         9
 28   337    842      0       24     -30         9
 29   350    875      0       18     -23         9
 30   362    905      0        9     -20         9
 31   373    932      0       -1     -20        10
 32   382    955      0      -12     -22        11
 33   390    975      0      -23     -28        12
 34   395    987      0      -33     -35        12
 35   398    995      0      -41     -43        11
 36   400   1000      0      -46     -51         9
 37   400   1000      0      -50     -57         7
 38   400   1000      0      -50     -64         7
 39   400   1000      0      -48     -68         4
 40   400   1000      0      -43     -69         5
 41   401   1000      1      -36     -68         7
 42   406   1000     10      -27     -65         9
 43   414   1000     23      -17     -61        10
 44   425   1000     41       -7     -55        11
 45   439   1000     65        2     -48        11
 46   454   1000     90       10     -42        10
 47   472   1000    120       15     -38         6
 48   493   1000    155       18     -36         3
 49   515   1000    191       17     -35         1
 50   538   1000    230       13     -40         6
 51   563   1000    271        7     -47         9
 52   589   1000    315       -3     -58        14
 53   616   1000    360      -14     -76        21
 54   643   1000    405      -26     -96        23
 55   671   1000    451      -39    -119        26
 56   700   1000    500      -53    -147        31
 57   727   1000    545      -64    -177        31
 58   755   1000    591      -76    -208        33
 59   782   1000    636      -87    -238        31
 60   809   1000    681      -96    -269        32
 61   835   1000    725     -104    -297        29
 62   860   1000    766     -110    -322        25
 63   883   1000    805     -116    -343        21
 64   905   1000    841     -119    -359        16
 65   926   1000    876     -121    -373        14
 66   944   1000    906     -122    -380         7
 67   959   1000    931     -122    -382         2
 68   974   1000    956     -122    -382         0
 69   985   1000    975     -120    -379         3
 70   992   1000    986     -119    -371         8
 71   997   1000    995     -118    -363         8
 72  1000   1000   1000     -117    -356         7
 73  1000   1000   1000     -118    -348         8
 74  1000   1000   1000     -121    -343         5
 75  1000   1000   1000     -125    -340         5
 76  1000   1000   1000     -131    -341         6
 77  1000   1000   1000     -138    -344         7
 78  1000   1000   1000     -145    -350         9
 79  1000   1000   1000     -153    -358        11
 80  1000   1000   1000     -160    -367        11
 81   659   1000    433      -82    -158       223
 82   380    950      0      -38     -62       105
 83   160    400      0        0     -48        40
 84     0      0      0        0       0        48
 85     0      0      0        0       0         0
 86     0      0      0        0       0         0
