frame,contact_x_min,contact_front_x,contact_cols
0,139,219,81
1,139,219,81
2,139,219,81
3,139,219,81
4,139,219,81
5,139,219,81
6,139,219,81
7,139,219,81
8,139,219,81
9,139,219,81
10,139,219,81
11,139,219,81
12,139,219,81
13,139,219,81
14,139,219,81
15,139,219,81
16,139,219,81
17,139,219,81
18,139,219,81
19,139,219,81
20,139,219,81
21,139,219,81
22,139,218,80
23,139,218,80
24,139,218,80
25,139,218,80
26,139,218,80
27,139,217,79
28,139,217,79
29,139,216,78
30,139,216,78
31,139,216,78
32,139,215,77
33,139,215,77
34,139,214,76
35,139,213,75
36,139,212,74
37,139,211,73
38,139,210,72
39,139,209,71
40,138,208,71
41,137,208,72
42,135,207,69
43,133,206,67
44,129,206,74
45,125,205,81
46,124,203,80
47,124,199,68
48,126,166,41
49,128,161,34
50,130,153,24
51,132,150,19
52,133,149,17
53,133,149,17
54,133,147,15
55,133,147,15
56,133,146,14
57,133,146,14
58,133,145,13
59,133,145,13
60,133,145,13
61,133,145,13
62,133,145,13
63,133,145,13
64,133,145,13
65,133,145,13
66,133,145,13
67,133,145,13
68,133,145,13
69,133,145,13
70,133,145,13
71,133,145,13
72,133,145,13
73,133,145,13
74,133,145,13
75,133,145,13
76,133,145,13
77,133,145,13
78,133,145,13
79,133,145,13
80,133,145,13
81,132,145,14
82,132,145,14
83,132,145,14
84,132,145,14
85,132,146,15
86,132,146,15
87,132,146,15
88,131,146,16
89,131,146,16
90,131,146,16
91,131,146,16
92,131,146,16
93,131,146,16
94,131,146,16
95,131,146,16
96,131,146,16
97,131,146,16
98,131,146,16
99,131,146,16
100,131,146,16
101,131,146,16
102,131,146,16
103,131,146,16
104,131,146,16
105,131,146,16
106,131,146,16
107,131,146,16
108,131,146,16
109,131,146,16
110,131,146,16
111,131,146,16
112,131,146,16
113,131,146,16
114,131,146,16
115,131,146,16
116,131,146,16
117,131,146,16
118,132,145,14
119,133,145,13
120,133,146,14
