frame,contact_x_min,contact_front_x,contact_cols
0,139,219,81
1,139,219,81
2,139,219,81
3,139,219,81
4,139,219,81
5,139,219,81
6,139,219,81
7,139,219,81
8,139,219,81
9,139,219,81
10,139,219,81
11,139,219,81
12,139,219,81
13,139,219,81
14,139,219,81
15,139,219,81
16,139,219,81
17,139,219,81
18,139,219,81
19,139,219,81
20,139,219,81
21,139,219,81
22,139,219,81
23,139,219,81
24,139,219,81
25,139,219,81
26,139,219,81
27,139,219,81
28,139,219,81
29,139,219,81
30,139,219,81
31,139,219,81
32,139,218,80
33,139,218,80
34,139,218,80
35,139,218,80
36,139,218,80
37,139,218,80
38,139,218,80
39,139,217,79
40,139,217,79
41,139,217,79
42,139,217,79
43,139,217,79
44,139,217,79
45,139,216,78
46,139,216,78
47,139,216,78
48,139,216,78
49,139,216,78
50,139,216,78
51,139,216,78
52,138,216,79
53,138,215,78
54,138,215,78
55,138,215,78
56,138,215,78
57,138,215,78
58,138,215,78
59,138,215,78
60,138,215,78
61,138,215,78
62,138,215,78
63,138,215,78
64,138,215,78
65,138,215,78
66,139,215,77
67,139,215,77
68,139,215,77
69,139,215,77
70,139,215,77
71,139,215,77
72,139,215,77
73,139,215,77
74,139,215,77
75,139,215,77
76,139,215,77
77,139,214,76
78,139,214,76
79,139,214,76
80,139,214,76
81,139,214,76
82,139,214,76
83,139,214,76
84,139,214,76
85,139,214,76
86,139,214,76
87,139,214,76
88,139,213,75
89,139,213,75
90,139,213,75
91,139,213,75
92,139,213,75
93,139,213,75
94,139,213,75
95,139,213,75
96,139,213,75
97,139,213,75
98,138,213,76
99,138,213,76
100,138,213,76
101,138,213,76
102,138,214,77
103,138,214,77
104,138,214,77
105,138,214,77
106,138,214,77
107,138,214,77
108,138,215,78
109,138,215,78
110,138,215,78
111,138,215,78
112,138,215,78
113,138,215,78
114,138,216,79
115,138,216,79
116,138,216,79
117,138,216,79
118,138,216,79
119,138,216,79
120,138,216,79
121,138,216,79
122,138,216,79
123,138,216,79
124,138,216,79
125,138,216,79
126,138,216,79
127,138,216,79
128,138,215,78
129,138,215,78
130,138,215,78
131,138,215,78
132,137,215,79
133,137,215,79
134,137,215,79
135,137,215,79
136,137,215,79
137,137,215,79
138,137,215,79
139,137,215,79
140,137,215,79
141,137,215,79
142,137,215,79
143,137,215,79
144,137,215,79
145,137,215,79
146,137,215,79
147,137,215,79
148,137,215,79
149,137,215,79
150,137,215,79
151,137,215,79
152,137,215,79
153,137,216,80
154,137,216,80
155,137,216,80
156,137,216,80
157,137,216,80
158,137,216,80
159,137,216,80
160,137,216,80
161,137,216,80
162,137,216,80
163,137,216,80
164,137,215,79
165,138,215,78
166,138,215,78
167,138,215,78
