    f   eyeX   eyeY   eyeN  noseX   tipX nose-tip
    0  228.4  117.3     19    242    215       27
    1  233.0  116.2     17    242    216       26
    2  232.7  116.4     15    242    215       27
    3  233.1  116.0     17    243    215       28
    4  232.9  115.9     16    243    216       27
    5  228.5  117.1     19    243    216       27
    6  229.1  117.0     20    243    216       27
    7  230.2  116.6     23    243    216       27
    8  229.2  116.9     20    243    216       27
    9  229.2  116.9     20    243    216       27
   10  233.8  115.7     19    243    216       27
   11  234.0  115.6     21    243    216       27
   12  233.3  115.8     18    243    216       27
   13  235.8  114.2     16    243    216       27
   14  233.9  116.1     16    242    216       26
   15  234.1  116.2     18    242    214       28
   16  232.3  117.7     18    242    214       28
   17  233.9  116.1     20    242    214       28
   18  231.6  117.8     19    242    214       28
   19  228.9  119.3     19    242    214       28
   20  231.1  117.7     22    241    214       27
   21  231.1  117.7     22    241    214       27
   22  230.6  117.9     21    241    214       27
   23  230.2  118.7     18    241    214       27
   24  229.2  119.6     21    240    214       26
   25  229.9  118.5     20    240    214       26
   26  231.6  117.4     19    240    214       26
   27  232.7  116.1     17    239    213       26
   28  226.4  120.8     22    239    213       26
   29  228.5  119.1     19    238    213       25
   30  225.3  120.7     23    238    212       26
   31  225.9  120.2     21    237    212       25
   32  226.0  120.0     22    237    211       26
   33  226.7  119.6     19    236    211       25
   34  224.0  120.1     22    235    210       25
   35  225.3  119.2     23    234    209       25
   36  221.8  120.4     21    233    209       24
   37  221.7  119.8     18    232    208       24
   38  222.2  118.8     18    231    207       24
   39  222.3  117.9     19    229    207       22
   40  220.2  118.0     18    227    206       21
   41  218.2  118.2     19    225    206       19
   42  215.9  118.4     19    223    203       20
   43  212.3  122.2     20    221    171       50
   44  210.5  121.7     20    219    171       48
   45  209.1  122.8     20    217    170       47
   46  207.9  122.8     19    216    167       49
   47  205.7  124.2     22    215    163       52
   48  206.0  120.8     16    214    158       56
   49  203.2  120.8     23    212    152       60
   50  202.3  117.9     21    210    149       61
   51  198.4  117.7     24    208    146       62
   52  196.6  117.8     20    205    145       60
   53  195.1  117.2     20    203    145       58
   54  192.8  116.7     20    201    144       57
   55  190.3  117.9     21    200    144       56
   56  190.1  116.6     18    199    144       55
   57  189.6  116.0     19    198    144       54
   58  188.2  116.2     20    197    143       54
   59  187.5  116.7     21    196    143       53
   60  187.1  116.8     20    196    143       53
   61  185.5  117.0     21    196    143       53
   62  186.5  116.8     24    195    143       52
   63  186.9  116.8     23    195    143       52
   64  186.8  116.8     25    195    143       52
   65  186.7  116.7     23    195    143       52
   66  186.5  118.0     22    195    143       52
   67  186.1  118.2     21    195    143       52
   68  186.0  118.2     21    195    143       52
   69  186.0  118.4     21    195    143       52
   70  186.7  118.3     23    195    143       52
   71  186.7  118.6     23    195    143       52
   72  187.2  117.7     23    195    143       52
   73  187.0  118.0     22    195    143       52
   74  186.6  118.7     18    194    143       51
   75  187.2  118.8     23    194    143       51
   76  186.5  120.5     21    194    143       51
   77  186.0  120.2     21    194    143       51
   78  186.1  120.4     27    194    143       51
   79  185.5  120.1     22    193    144       49
   80  185.1  120.8     22    192    144       48
   81  184.4  120.8     22    192    144       48
   82  183.5  121.4     23    192    144       48
   83  182.4  120.5     20    192    144       48
   84  181.0  120.4     19    192    144       48
   85  180.3  121.0     21    192    144       48
   86  177.9  119.9     16    192    144       48
   87  177.1  120.3     19    192    144       48
   88  175.9  120.3     20    192    144       48
   89  174.5  121.1     21    192    144       48
   90  171.9  120.1     19    192    144       48
   91  170.2  120.1     20    192    144       48
   92  170.3  120.7     20    192    144       48
   93  168.7  120.5     20    192    144       48
   94  167.5  120.5     20    192    144       48
   95  168.9  121.5     23    192    144       48
   96  169.2  122.3     21    192    144       48
   97  167.8  123.2     24    192    144       48
   98  170.2  123.4     24    192    144       48
   99  168.8  122.8     24    192    144       48
  100  167.5  122.8     24    192    144       48
  101  166.4  122.3     21    192    144       48
  102  163.8  121.3     20    192    144       48
  103  164.4  121.6     22    192    144       48
  104  165.4  122.0     22    192    144       48
  105  166.2  122.3     24    192    144       48
  106  165.2  122.2     24    192    144       48
  107  166.3  122.6     24    192    144       48
  108  165.8  122.7     23    192    144       48
  109  166.4  122.9     24    192    144       48
  110  166.6  123.1     24    192    144       48
  111  166.7  123.5     27    192    144       48
  112  166.5  123.6     26    192    144       48
  113  165.8  123.4     23    192    144       48
  114  166.4  123.8     21    192    144       48
  115  165.3  123.6     22    192    144       48
  116  164.4  123.7     23    192    144       48
  117  172.2  120.7     21    192    144       48
  118  180.5  119.3     22    192    144       48
  119  185.8  119.4     23    194    143       51
  120  189.1  117.8     20    197    144       53
  121  212.3  119.3     21    220    203       17
  122  225.8  120.1     21    236    211       25
  123  229.6  118.4     19    240    214       26
  124  235.7  114.6     18    242    214       28
  125  235.7  110.0     16    243     -1        -
  126  232.7  107.3     20    243     -1        -
  127  232.4  102.7     25    243     -1        -
  128  236.4   94.2     22    243     -1        -
  129  207.6   98.3     30    243     -1        -
  130  200.8   85.4     34    243     -1        -
  131  215.6   78.1     26    242     -1        -
  132  215.9   75.2     36    267     -1        -
  133  217.0   75.7     39    263     -1        -
  134  225.6   80.6     31    262     -1        -
  135  235.7   92.4     20    271     -1        -
  136  237.6   95.1     22    276     -1        -
  137  239.1   90.5     18    279     -1        -
  138  242.6   80.8     20    280     -1        -
