frame,contact_x_min,contact_front_x,contact_cols
0,110,242,133
1,110,242,133
2,110,242,133
3,110,243,134
4,110,243,134
5,110,243,134
6,110,243,134
7,109,243,135
8,109,243,135
9,109,243,135
10,109,243,135
11,109,243,135
12,109,243,135
13,109,243,135
14,109,242,134
15,109,242,134
16,109,242,134
17,110,242,133
18,110,242,133
19,108,242,135
20,108,241,134
21,108,241,134
22,108,241,134
23,108,241,134
24,110,240,131
25,110,240,131
26,110,240,131
27,109,239,131
28,109,239,131
29,109,238,130
30,109,238,130
31,109,237,129
32,109,237,129
33,109,236,128
34,109,235,127
35,109,234,126
36,109,233,125
37,109,232,124
38,109,231,123
39,109,229,121
40,109,227,119
41,109,225,117
42,107,223,117
43,107,221,115
44,107,219,113
45,106,217,112
46,108,216,109
47,112,215,104
48,111,214,104
49,112,212,101
50,114,210,97
51,114,208,95
52,114,205,92
53,114,203,90
54,115,201,87
55,114,200,87
56,117,199,83
57,116,198,83
58,115,197,83
59,115,196,82
60,115,196,82
61,115,196,82
62,115,195,81
63,115,195,81
64,115,195,81
65,115,195,81
66,115,195,81
67,115,195,81
68,115,195,81
69,115,195,81
70,115,195,81
71,115,195,81
72,115,195,81
73,115,195,81
74,115,194,80
75,115,194,80
76,116,194,79
77,116,194,79
78,116,194,79
79,114,193,80
80,114,192,79
81,114,192,79
82,115,192,78
83,115,192,78
84,116,192,77
85,114,192,79
86,114,192,79
87,114,192,79
88,114,192,79
89,114,192,79
90,115,192,78
91,115,192,78
92,115,192,78
93,116,192,77
94,114,192,79
95,114,192,79
96,114,192,79
97,114,192,79
98,114,192,79
99,114,192,79
100,114,192,79
101,114,192,79
102,114,192,79
103,114,192,79
104,114,192,79
105,114,192,79
106,114,192,79
107,114,192,79
108,114,192,79
109,114,192,79
110,114,192,79
111,114,192,79
112,114,192,79
113,114,192,79
114,114,192,79
115,114,192,79
116,114,192,79
117,114,192,79
118,115,192,78
