frame,area,cx,cy,solidity,hole_pct,closure,spine_px,shape_rate_pct,half_life,head_found,head_x,head_y,weber
0,2358,185.75,131.30,0.558,5.39,0.755,515,0.00,46,1,230.78,114.15,0.242
1,2354,185.89,131.32,0.557,5.44,0.755,526,0.51,45,1,230.75,114.17,0.243
2,2353,185.82,131.32,0.556,5.57,0.755,504,0.47,44,1,230.82,114.17,0.241
3,2358,186.05,131.29,0.556,5.43,0.758,517,0.89,43,1,231.04,114.19,0.243
4,2356,186.02,131.30,0.556,5.35,0.762,508,0.76,42,1,231.33,114.17,0.240
5,2351,186.02,131.33,0.555,5.49,0.768,515,0.64,41,1,231.42,114.14,0.243
6,2351,185.99,131.31,0.554,5.49,0.767,521,0.59,40,1,231.43,114.18,0.243
7,2363,185.75,131.27,0.556,5.12,0.771,501,1.01,39,1,231.54,114.10,0.244
8,2361,185.92,131.25,0.555,5.08,0.764,500,0.84,38,1,231.68,114.06,0.244
9,2362,185.88,131.25,0.555,5.17,0.762,510,0.38,36,1,231.68,114.06,0.244
10,2354,186.02,131.25,0.553,5.44,0.773,530,0.51,35,1,231.61,114.07,0.244
11,2354,185.92,131.29,0.553,5.44,0.772,531,1.27,34,1,231.46,114.15,0.243
12,2361,185.83,131.27,0.554,5.25,0.767,521,0.63,33,1,231.46,114.17,0.243
13,2354,185.79,131.28,0.553,5.48,0.779,534,1.39,32,1,231.31,114.15,0.242
14,2340,185.47,131.37,0.550,5.68,0.775,517,1.77,31,1,230.97,114.13,0.239
15,2274,186.18,131.27,0.541,5.76,0.767,515,12.06,30,1,231.04,114.17,0.265
16,2264,186.19,131.24,0.539,5.96,0.776,503,1.49,29,1,231.13,114.24,0.265
17,2250,186.46,131.37,0.541,5.96,0.786,533,3.31,29,1,231.13,114.39,0.259
18,2245,186.15,131.42,0.541,5.92,0.785,516,2.24,27,1,230.58,114.56,0.261
19,2247,185.53,131.44,0.540,5.87,0.797,528,10.86,26,1,230.34,114.86,0.264
20,2249,185.31,131.57,0.537,5.82,0.797,506,2.20,25,1,229.79,114.96,0.267
21,2267,185.36,131.60,0.538,5.51,0.806,518,3.40,25,1,229.93,115.00,0.264
22,2269,185.16,131.66,0.541,5.42,0.790,527,2.18,24,1,229.42,115.13,0.260
