frame,rightmost_x
0,242
1,242
2,242
3,243
4,243
5,243
6,243
7,243
8,243
9,243
10,243
11,243
12,243
13,243
14,242
15,242
16,242
17,242
18,242
19,242
20,241
21,241
22,241
23,241
24,240
25,240
26,240
27,239
28,239
29,238
30,238
31,237
32,237
33,236
34,235
35,234
36,233
37,232
38,231
39,229
40,227
41,225
42,223
43,221
44,219
45,218
46,217
47,216
48,214
49,212
50,210
51,208
52,205
53,203
54,201
55,200
56,199
57,198
58,197
59,196
60,196
61,196
62,195
63,195
64,195
65,195
66,195
67,195
68,195
69,195
70,195
71,195
72,195
73,195
74,194
75,194
76,194
77,194
78,194
79,193
80,192
81,192
82,192
83,192
84,192
85,192
86,192
87,192
88,192
89,192
90,192
91,192
92,192
93,192
94,192
95,192
96,192
97,192
98,192
99,192
100,192
101,192
102,192
103,192
104,192
105,192
106,192
107,192
108,192
109,192
110,192
111,192
112,192
113,192
114,192
115,192
