zixxtrixx-attack           0x2AED9D76 frames=560
zixxtrixx-balance          0x7FC8F62E frames=493
zixxtrixx-damage           0x0D8ECFB6 frames=400
zixxtrixx-death            0x4B7B3E3E frames=192
zixxtrixx-death2           0x9F659521 frames=240
zixxtrixx-fall             0xC4722098 frames=288
zixxtrixx-hit              0x6A33B878 frames=300
zixxtrixx-hitfloor         0xC8E9982F frames=188
zixxtrixx-idle             0x25EE061F frames=576
zixxtrixx-jump-multi       0x9E96F7F2 frames=241
zixxtrixx-jump-one         0xB11B7C7B frames=241
zixxtrixx-knockdown        0xB36C148A frames=196
zixxtrixx-look             0x5F193510 frames=384
zixxtrixx-run              0x8E8D3179 frames=96
zixxtrixx-salto-dummy      0x6D95E2FD frames=295
zixxtrixx-salto-fly        0xE4332117 frames=313
zixxtrixx-salto-nine       0x2E005FAD frames=435
zixxtrixx-salto-six        0x139F143B frames=333
zixxtrixx-slow-taunt       0xBB66B5CE frames=239
zixxtrixx-taunt            0x33BC0A56 frames=224
zixxtrixx-walk             0x86536E70 frames=160
