zixxtrixx-attack 0x86A2B30B f=560
zixxtrixx-balance 0x301EFBA6 f=493
zixxtrixx-damage 0x6C224D56 f=400
zixxtrixx-death 0x2E8755B3 f=192
zixxtrixx-death2 0x18F0AF79 f=240
zixxtrixx-fall 0xD18D3D3C f=288
zixxtrixx-hit 0x116F3C2E f=300
zixxtrixx-hitfloor 0x11DADB9E f=188
zixxtrixx-idle 0x1408F885 f=576
zixxtrixx-jump-multi 0xF58DE5AD f=241
zixxtrixx-jump-one 0x5303C5C0 f=241
zixxtrixx-knockdown 0x1EB29988 f=196
zixxtrixx-look 0x28D476AA f=384
zixxtrixx-moving-light 0xC0DE226E f=600
zixxtrixx-run 0x45A4E913 f=96
zixxtrixx-salto-dummy 0x654D7708 f=295
zixxtrixx-salto-fly 0x4FE70E0C f=313
zixxtrixx-salto-nine 0xC96C63F5 f=435
zixxtrixx-salto-six 0x456D82CE f=333
zixxtrixx-slow-taunt 0x1F35917E f=239
zixxtrixx-taunt 0xD79D55E2 f=224
zixxtrixx-walk 0xF06EF66B f=160
