qa-p7b E4: closest eye-to-eye approach vs RAW roll angle (floor 12 mm; shipped cap kEyeRollMaxA16 = 900 a16)
   a16    deg     closest_mm   verdict
      0   0.00         91   OK
    100   0.55         83   OK
    200   1.10         75   OK
    300   1.65         68   OK
    400   2.20         60   OK
    500   2.75         52   OK
    600   3.30         45   OK
    700   3.85         37   OK
    800   4.39         29   OK
    900   4.94         22   OK   <-- SHIPPED CAP
   1000   5.49         14   OK
   1040   5.71         11   FAIL
   1060   5.82         10   FAIL
   1080   5.93          8   FAIL
   1100   6.04          7   FAIL
   1120   6.15          5   FAIL
   1140   6.26          4   FAIL
   1160   6.37          2   FAIL
   1180   6.48          1   FAIL
   1200   6.59          1   FAIL
   1220   6.70          1   FAIL
   1240   6.81          1   FAIL
   1260   6.92          0   FAIL
   1280   7.03          0   FAIL
   1300   7.14          0   FAIL
   1320   7.25          1   FAIL
   1340   7.36          1   FAIL
   1360   7.47          0   FAIL
   1380   7.58          1   FAIL
   1400   7.69          2   FAIL
   1420   7.80          3   FAIL
   1440   7.91          5   FAIL
   1460   8.02          6   FAIL
   1480   8.13          7   FAIL
   1500   8.24          9   FAIL
   1520   8.35         10   FAIL
   1600   8.79         16   OK
   1700   9.34         24   OK
   1800   9.89         19   OK
   1900  10.44         13   OK
   1940  10.66         11   FAIL
   1960  10.77         10   FAIL
   1980  10.88          9   FAIL
   2000  10.99          8   FAIL
   2020  11.10          7   FAIL
   2040  11.21          5   FAIL
   2060  11.32          4   FAIL
   2080  11.43          3   FAIL
   2100  11.54          2   FAIL
   2120  11.65          1   FAIL
   2140  11.76          0   FAIL
   2160  11.87          1   FAIL
   2180  11.98          1   FAIL
   2200  12.08          2   FAIL
   2220  12.19          1   FAIL
   2240  12.30          0   FAIL
   2260  12.41          1   FAIL
   2280  12.52          1   FAIL
   2300  12.63          2   FAIL
   2320  12.74          3   FAIL
   2340  12.85          4   FAIL
   2360  12.96          4   FAIL
   2380  13.07          3   FAIL
   2400  13.18          1   FAIL
   2420  13.29          0   FAIL
   2440  13.40          1   FAIL
   2460  13.51          1   FAIL
   2480  13.62          2   FAIL
   2500  13.73          3   FAIL
   2520  13.84          4   FAIL
   2540  13.95          5   FAIL
   2560  14.06          5   FAIL
   2580  14.17          4   FAIL
   2600  14.28          3   FAIL
qa-p7b E4: minimum 0 mm at 1260 a16 (6.92 deg); first FAIL at 1040 a16 (5.71 deg)
qa-p7b E4: pass 6 shipped kEyeRollMaxA16 = 1820 a16 (10.00 deg); pass 7 ships 900 a16 (4.94 deg)
