subject,rank,mean_abs_rgb,changed_pixels,max_delta,frame_index,file
manafold-channel,1,3.0200846354166666,13109,255,124,0124.rgb
manafold-channel,2,3.0197410300925926,14060,255,122,0122.rgb
manafold-channel,3,3.0107566550925924,13201,247,123,0123.rgb
manafold-channel,4,2.9902741608796295,13340,255,121,0121.rgb
manafold-crackle,1,3.1329029224537037,16625,230,7,0007.rgb
manafold-crackle,2,3.11607349537037,14623,247,5,0005.rgb
manafold-crackle,3,3.078396267361111,14515,230,4,0004.rgb
manafold-crackle,4,3.067766203703704,14640,247,0,0000.rgb
manafold-damage,1,8.905797887731481,22349,255,30,0030.rgb
manafold-damage,2,8.859877748842592,22375,255,31,0031.rgb
manafold-damage,3,8.426609519675926,23164,230,263,0263.rgb
manafold-damage,4,8.346965422453703,21560,255,32,0032.rgb
manafold-death-drop,1,4.468062789351852,8974,230,0,0000.rgb
manafold-death-drop,2,2.2067021122685184,7067,255,36,0036.rgb
manafold-death-drop,3,2.129416232638889,6497,255,74,0074.rgb
manafold-death-drop,4,2.1188657407407407,6566,255,75,0075.rgb
manafold-death-gutter,1,3.997298177083333,8105,247,0,0000.rgb
manafold-death-gutter,2,1.4053493923611111,5119,223,314,0314.rgb
manafold-death-gutter,3,1.3910481770833334,5048,206,315,0315.rgb
manafold-death-gutter,4,1.214236111111111,1667,239,224,0224.rgb
manafold-lasso,1,6.714380787037037,19782,239,101,0101.rgb
manafold-lasso,2,6.709906684027778,24128,222,216,0216.rgb
manafold-lasso,3,6.699681712962963,23151,222,217,0217.rgb
manafold-lasso,4,6.60259693287037,26606,230,218,0218.rgb
manafold-mana-blue,1,4.358192274305556,16144,247,0,0000.rgb
manafold-mana-blue,2,3.678830295138889,15783,247,5,0005.rgb
manafold-mana-blue,3,3.5713505497685185,15047,230,1,0001.rgb
manafold-mana-blue,4,3.5559208622685183,15121,239,2,0002.rgb
manafold-mana-boil,1,5.030707465277778,17518,247,0,0000.rgb
manafold-mana-boil,2,3.924920428240741,14139,239,561,0561.rgb
manafold-mana-boil,3,3.8541666666666665,12672,239,183,0183.rgb
manafold-mana-boil,4,3.6825846354166667,15866,247,5,0005.rgb
manafold-mana-green,1,3.925339988425926,15710,247,0,0000.rgb
manafold-mana-green,2,3.6748372395833333,15181,247,5,0005.rgb
manafold-mana-green,3,3.599236834490741,15074,230,4,0004.rgb
manafold-mana-green,4,3.558246527777778,14857,230,1,0001.rgb
manafold-mana-stack,1,4.857863136574074,21669,255,0,0000.rgb
manafold-mana-stack,2,4.830609809027778,20685,255,5,0005.rgb
manafold-mana-stack,3,4.777799479166666,20726,255,4,0004.rgb
manafold-mana-stack,4,4.7777705439814815,21174,247,7,0007.rgb
manafold-pirouette,1,5.565277777777778,20295,255,20,0020.rgb
manafold-pirouette,2,5.512503616898148,20109,255,22,0022.rgb
manafold-pirouette,3,5.495735677083333,20054,247,21,0021.rgb
manafold-pirouette,4,5.463776765046297,20576,247,25,0025.rgb
manafold-startle,1,10.660159866898148,24399,255,21,0021.rgb
manafold-startle,2,10.623723234953705,23937,255,22,0022.rgb
manafold-startle,3,10.606235532407407,23853,255,23,0023.rgb
manafold-startle,4,10.549417679398148,24622,255,20,0020.rgb
manafold-taunt3,1,10.732190393518518,30566,247,305,0305.rgb
manafold-taunt3,2,10.285557725694444,26995,247,304,0304.rgb
manafold-taunt3,3,9.939963107638889,25322,239,303,0303.rgb
manafold-taunt3,4,9.619245515046297,23542,255,366,0366.rgb
manafold-trick,1,9.739435040509258,33602,230,325,0325.rgb
manafold-trick,2,9.551482928240741,30990,235,320,0320.rgb
manafold-trick,3,9.447099247685186,31678,230,327,0327.rgb
manafold-trick,4,9.363758680555556,34288,239,330,0330.rgb
