frame,key,sub,A_y,B_y,C_y,AB_y,AC_y,BC_y,FA_mm,AB_mm,BC_mm,CE_mm
112,56,0,1450.707,1594.993,1502.888,-144.285,-52.181,92.104,104,-36,-36,54
113,56,1,1446.721,1594.082,1499.854,-147.361,-53.133,94.228,100,-34,-35,52
114,57,0,1442.806,1593.406,1497.24,-150.6,-54.434,96.165,97,-34,-34,48
115,57,1,1440.26,1590.407,1484.908,-150.147,-44.648,105.5,94,-34,-33,37
116,58,0,1437.808,1587.648,1472.938,-149.84,-35.13,114.71,91,-34,-32,24
117,58,1,1437.708,1581.492,1448.189,-143.784,-10.481,133.303,91,-36,-28,3
118,59,0,1437.62,1575.379,1423.68,-137.759,13.94,151.699,91,-38,-25,-21
119,59,1,1441.355,1567.635,1390.235,-126.281,51.12,177.4,95,-42,-21,-53
120,60,0,1445.169,1560.111,1357.571,-114.942,87.598,202.541,100,-45,-17,-81
121,60,1,1451.826,1551.277,1317.169,-99.451,134.658,234.109,106,-49,-7,-118
122,61,0,1458.422,1542.631,1277.708,-84.208,180.714,264.923,113,-53,3,-153
123,61,1,1466.621,1530.991,1230.303,-64.37,236.318,300.688,123,-55,16,-193
124,62,0,1474.699,1519.393,1184.238,-44.694,290.461,335.155,132,-58,31,-236
125,62,1,1483.138,1508.518,1141.764,-25.38,341.374,366.754,141,-58,46,-273
126,63,0,1491.564,1497.615,1100.412,-6.052,391.152,397.204,151,-58,63,-310
127,63,1,1499.318,1487.766,1064.189,11.552,435.129,423.577,160,-55,78,-338
128,64,0,1507.03,1477.702,1028.778,29.328,478.252,448.924,169,-51,95,-366
129,64,1,1513.137,1470.226,1002.596,42.911,510.542,467.63,175,-49,108,-390
130,65,0,1519.229,1462.656,976.819,56.573,542.41,485.837,182,-47,121,-411
131,65,1,1522.961,1457.565,961.054,65.396,561.907,496.511,187,-43,128,-420
132,66,0,1526.794,1452.71,945.7,74.084,581.094,507.01,192,-40,136,-428
133,66,1,1529.27,1451.229,939.689,78.041,589.581,511.54,194,-39,140,-433
134,67,0,1531.825,1450.022,934.084,81.804,597.742,515.938,197,-38,143,-437
135,67,1,1532.68,1449.883,933.732,82.798,598.949,516.151,198,-38,143,-435
136,68,0,1533.64,1450.076,933.729,83.564,599.911,516.346,199,-38,143,-435
137,68,1,1533.65,1450.093,933.756,83.557,599.894,516.337,199,-38,143,-433
138,69,0,1533.646,1450.09,933.746,83.555,599.899,516.344,199,-38,143,-430
139,69,1,1533.68,1450.115,933.783,83.565,599.898,516.332,199,-38,143,-428
140,70,0,1533.661,1450.107,933.767,83.554,599.894,516.34,199,-38,143,-428
141,70,1,1533.691,1450.138,933.775,83.554,599.917,516.363,199,-38,143,-428
142,71,0,1533.654,1450.1,933.766,83.554,599.888,516.334,199,-38,143,-426
143,71,1,1533.681,1450.116,933.762,83.565,599.919,516.353,199,-38,143,-426
144,72,0,1533.678,1450.108,933.762,83.57,599.916,516.346,199,-38,143,-424
145,72,1,1533.66,1450.102,933.775,83.558,599.885,516.327,199,-38,143,-422
146,73,0,1533.658,1450.099,933.758,83.559,599.9,516.34,199,-38,143,-422
147,73,1,1533.677,1450.115,933.775,83.562,599.902,516.34,199,-38,143,-422
148,74,0,1533.668,1450.112,933.78,83.555,599.887,516.332,199,-38,143,-422
149,74,1,1532.651,1449.75,933.588,82.901,599.063,516.162,198,-38,143,-420
150,75,0,1531.761,1449.749,933.981,82.012,597.779,515.767,197,-38,143,-420
151,75,1,1526.328,1451.739,941.151,74.589,585.176,510.588,192,-40,139,-415
152,76,0,1520.998,1454.024,948.923,66.974,572.075,505.101,186,-43,136,-411
153,76,1,1509.488,1460.658,969.397,48.83,540.091,491.261,173,-47,126,-400
154,77,0,1497.975,1467.082,990.311,30.893,507.664,476.77,160,-51,117,-385
155,77,1,1480.923,1478.579,1025.076,2.344,455.847,453.503,140,-54,103,-357
156,78,0,1463.581,1489.322,1060.567,-25.742,403.013,428.755,121,-56,89,-329
157,78,1,1439.368,1501.477,1107.862,-62.109,331.506,393.615,95,-51,72,-290
158,79,0,1414.629,1513.233,1156.643,-98.603,257.986,356.589,70,-47,54,-250
159,79,1,1386.843,1527.241,1211.244,-140.398,175.599,315.997,41,-32,39,-202
160,80,0,1358.243,1541.168,1267.48,-182.925,90.763,273.688,11,-17,24,-155
161,80,1,1330.163,1554.156,1317.103,-223.993,13.06,237.053,-17,5,13,-111
162,81,0,1301.421,1567.412,1368.163,-265.991,-66.743,199.249,-45,29,3,-66
163,81,1,1274.922,1576.539,1405.236,-301.617,-130.313,171.303,-70,53,-2,-36
164,82,0,1247.818,1585.395,1442.924,-337.577,-195.106,142.471,-96,78,-8,-6
165,82,1,1226.566,1591.66,1468.95,-365.094,-242.384,122.709,-115,98,-10,14
166,83,0,1204.92,1597.546,1494.936,-392.626,-290.015,102.61,-135,119,-12,35
167,83,1,1192.179,1602.52,1511.662,-410.341,-319.483,90.858,-146,134,-12,48
168,84,0,1179.181,1607.196,1528.093,-428.016,-348.913,79.103,-157,149,-14,61
169,84,1,1172.855,1608.747,1534.612,-435.892,-361.757,74.135,-162,155,-13,65
170,85,0,1166.412,1610.165,1541.075,-443.753,-374.663,69.09,-168,162,-12,70
171,85,1,1165.714,1610.792,1543.286,-445.079,-377.572,67.507,-168,162,-12,72
172,86,0,1164.924,1611.352,1545.521,-446.428,-380.597,65.831,-168,164,-12,74
173,86,1,1164.924,1611.352,1545.521,-446.428,-380.597,65.831,-168,164,-12,72
174,87,0,1164.924,1611.352,1545.521,-446.428,-380.597,65.831,-168,164,-12,70
175,87,1,1164.924,1611.352,1545.521,-446.428,-380.597,65.831,-168,164,-12,69
