manafold-blown frames=292 0xDAD11DA2
manafold-channel frames=420 0x30A1600F
manafold-crackle frames=600 0xEDDC80D7
manafold-curious frames=180 0x96754ADE
manafold-damage frames=464 0x92E5D4DA
manafold-death-drop frames=450 0xFE49AF63
manafold-death-gutter frames=590 0x67426023
manafold-drift frames=300 0xA09D0FD7
manafold-fall frames=340 0x923D9F6C
manafold-flight frames=352 0x75EA27FF
manafold-hasty frames=240 0x36C69A71
manafold-hit frames=140 0x2C4180A5
manafold-hover frames=600 0x94122BE4
manafold-inspect frames=600 0x58031AD0
manafold-lasso frames=336 0x82233A61
manafold-pirouette frames=240 0x59CA7B33
manafold-rest frames=400 0x83176096
manafold-startle frames=160 0x52A48C14
manafold-taunt frames=280 0x5B7E861B
manafold-taunt2 frames=240 0x7667C67F
manafold-taunt3 frames=368 0x47E140C8
manafold-trick frames=400 0x6C2AC6D2
