manafold-blown frames=292 0x840DA184
manafold-channel frames=420 0xD49861D0
manafold-crackle-legacy frames=600 0xEDDC80D7
manafold-crackle frames=600 0xCC1BDA8B
manafold-curious frames=180 0xFD63139B
manafold-damage frames=464 0xBADF776E
manafold-death-drop frames=450 0x99FCC8A1
manafold-death-gutter frames=590 0x3BA123EC
manafold-drift frames=300 0x3A11AB0C
manafold-fall frames=340 0x1F062A86
manafold-flight frames=352 0x5B272AB3
manafold-hasty frames=240 0xC6FB59FB
manafold-hit frames=140 0x3BABB107
manafold-hover frames=600 0x24B3FE60
manafold-inspect frames=600 0x95A27283
manafold-lasso frames=336 0x26666BC0
manafold-pirouette frames=240 0x18DB7B27
manafold-rest frames=400 0xD25EF330
manafold-startle frames=160 0x11C587EF
manafold-taunt frames=280 0x3874DBF4
manafold-taunt2 frames=240 0x499AC40C
manafold-taunt3 frames=368 0x07EACF1D
manafold-trick frames=400 0x22563A37
