manafold-blown frames=292 0xF941CE0B
manafold-channel frames=420 0x585FBA87
manafold-crackle-legacy frames=600 0xEDDC80D7
manafold-crackle frames=600 0x72D9399A
manafold-curious frames=180 0xF9DA93B1
manafold-damage frames=464 0x5B82205A
manafold-death-drop frames=450 0xC516531D
manafold-death-gutter frames=590 0x0DCF0E2E
manafold-drift frames=300 0x7DABA0A1
manafold-fall frames=340 0x0B3A2163
manafold-flight frames=352 0xDE615B80
manafold-hasty frames=240 0x4E68EBFB
manafold-hit frames=140 0xB03FC31A
manafold-hover frames=600 0x746815C7
manafold-inspect frames=600 0xF745F26E
manafold-lasso frames=336 0xE34E0557
manafold-pirouette frames=240 0x413E4B25
manafold-rest frames=400 0xC60E06FC
manafold-startle frames=160 0xB80C6DEB
manafold-taunt frames=280 0xF63F429B
manafold-taunt2 frames=240 0x831613B9
manafold-taunt3 frames=368 0xF1A383B4
manafold-trick frames=400 0x8B99A841
