# review identity renders, .tmp/p19-rev renderer, production env (ZIXX_EXP=celmain ZIXX_LIGHT=diagonal-cool-cross)
## shipping (arm frame, ambient 400, End ball 2560/150 30/36, distance lines 360)
manafold-hover: 600 frames, 24457 unique colours, sequence_crc32c=0xA2D0E051
manafold-inspect: 600 frames, 24681 unique colours, sequence_crc32c=0x779615BB
manafold-drift: 300 frames, 13629 unique colours, sequence_crc32c=0x9A76FE69
manafold-rest: 400 frames, 20879 unique colours, sequence_crc32c=0xA8B3AD33
manafold-taunt3: 368 frames, 20797 unique colours, sequence_crc32c=0x75BC4777
manafold-channel: 420 frames, 20632 unique colours, sequence_crc32c=0x8D8022A0
manafold-trick: 400 frames, 21207 unique colours, sequence_crc32c=0x71BB47B9
manafold-lasso: 336 frames, 19946 unique colours, sequence_crc32c=0xF6B893FE
manafold-pirouette: 240 frames, 18927 unique colours, sequence_crc32c=0xE05DB5C3
## legacy-root + MANA_LINE_SCALE=legacy (must equal v18 bank)
manafold-hover: 600 frames, 24471 unique colours, sequence_crc32c=0x24B3FE60
manafold-inspect: 600 frames, 24681 unique colours, sequence_crc32c=0x95A27283
manafold-drift: 300 frames, 14398 unique colours, sequence_crc32c=0x69158A83
manafold-rest: 400 frames, 21226 unique colours, sequence_crc32c=0xD25EF330
manafold-taunt3: 368 frames, 20989 unique colours, sequence_crc32c=0x07EACF1D
manafold-channel: 420 frames, 21023 unique colours, sequence_crc32c=0xD49861D0
manafold-trick: 400 frames, 21870 unique colours, sequence_crc32c=0xAB4D78E9
manafold-lasso: 336 frames, 20141 unique colours, sequence_crc32c=0x26666BC0
manafold-pirouette: 240 frames, 19196 unique colours, sequence_crc32c=0x18DB7B27
## v18 bank: hover 0x24B3FE60 inspect 0x95A27283 drift 0x69158A83 rest 0xD25EF330 taunt3 0x07EACF1D channel 0xD49861D0 trick 0xAB4D78E9 lasso 0x26666BC0 pirouette 0x18DB7B27 -> 9/9 byte-identical
## pre-review shipping (b1fddb5d, reproduced): hover 0x40E1DBF1 inspect 0x7E4F8487 drift 0xD474E003 rest 0xD04B3BC6 taunt3 0xE87404ED channel 0x9F8C2486 trick 0x12438AAD lasso 0xB0BDD0F9 pirouette 0x37EEC7EE
