# Pass 23 scope proof: SHIPPING bank vs the SAME renderer with the
# press depths back to pass 22's (ZHAO_U02_KNEAD_DIP_CLIP_PM=1:730,14:635,17:635,18:590).
# EXPECTED: exactly the four raised clips move; the other 18 are
# byte-identical. Named, not merely counted.
# subject	frames	changed	worst_px	worst_frame
manafold-blown	292	0	0	
manafold-channel	420	0	0	
manafold-crackle	600	0	0	
manafold-curious	180	0	0	
manafold-damage	464	362	10886	0414
manafold-death-drop	450	207	1988	0010
manafold-death-gutter	590	277	1779	0041
manafold-drift	300	168	1570	0191
manafold-fall	340	0	0	
manafold-flight	352	0	0	
manafold-hasty	240	0	0	
manafold-hit	140	0	0	
manafold-hover	600	0	0	
manafold-inspect	600	0	0	
manafold-lasso	336	0	0	
manafold-pirouette	240	0	0	
manafold-rest	400	0	0	
manafold-startle	160	0	0	
manafold-taunt	280	0	0	
manafold-taunt2	240	0	0	
manafold-taunt3	368	0	0	
manafold-trick	400	0	0	
# subjects=22 frames=7992 moved=4 expected_moved=4
# moved: manafold-damage manafold-death-drop manafold-death-gutter manafold-drift
