manafold-blown: 292 frames, 13007 unique colours, sequence_crc32c=0x16532469
manafold-channel: 420 frames, 20562 unique colours, sequence_crc32c=0x1782C82C
manafold-crackle: 600 frames, 21948 unique colours, sequence_crc32c=0x802C50EF
manafold-curious: 180 frames, 17509 unique colours, sequence_crc32c=0x26588572
manafold-damage: 464 frames, 21100 unique colours, sequence_crc32c=0xBE847926
manafold-death-drop: 450 frames, 15594 unique colours, sequence_crc32c=0x12F60AA1
manafold-death-gutter: 590 frames, 16186 unique colours, sequence_crc32c=0x99732F0C
manafold-drift: 300 frames, 13426 unique colours, sequence_crc32c=0xF376C81F
manafold-fall: 340 frames, 11723 unique colours, sequence_crc32c=0x72FF6B3F
manafold-flight: 352 frames, 17061 unique colours, sequence_crc32c=0xC86941BF
manafold-hasty: 240 frames, 13470 unique colours, sequence_crc32c=0x6B85677A
manafold-hit: 140 frames, 18123 unique colours, sequence_crc32c=0xCF43C2AC
manafold-hover: 600 frames, 24532 unique colours, sequence_crc32c=0xEFCCD8FA
manafold-inspect: 600 frames, 24771 unique colours, sequence_crc32c=0x6B1077D0
manafold-lasso: 336 frames, 19850 unique colours, sequence_crc32c=0xDC8E35F4
manafold-pirouette: 240 frames, 18836 unique colours, sequence_crc32c=0x25063E42
manafold-rest: 400 frames, 20827 unique colours, sequence_crc32c=0x89500F55
manafold-startle: 160 frames, 18323 unique colours, sequence_crc32c=0x3D6E86C7
manafold-taunt2: 240 frames, 18893 unique colours, sequence_crc32c=0x20CC4E42
manafold-taunt3: 368 frames, 20361 unique colours, sequence_crc32c=0x984C3C99
manafold-taunt: 280 frames, 19734 unique colours, sequence_crc32c=0x6064D0BC
manafold-trick: 400 frames, 20813 unique colours, sequence_crc32c=0xFBF36AFC
