checkarchive: FAIL renders/archive-p24-manafold-blown.webm: expected one archived video, got 0
checkarchive: FAIL renders/archive-p24-manafold-channel.webm: expected one archived video, got 0
checkarchive: FAIL renders/archive-p24-manafold-crackle.webm: expected one archived video, got 0
checkarchive: FAIL renders/archive-p24-manafold-curious.webm: expected one archived video, got 0
checkarchive: FAIL renders/archive-p24-manafold-damage.webm: expected one archived video, got 0
checkarchive: FAIL renders/archive-p24-manafold-death-drop.webm: expected one archived video, got 0
checkarchive: FAIL renders/archive-p24-manafold-death-gutter.webm: expected one archived video, got 0
checkarchive: FAIL renders/archive-p24-manafold-drift.webm: expected one archived video, got 0
checkarchive: FAIL renders/archive-p24-manafold-fall.webm: expected one archived video, got 0
checkarchive: FAIL renders/archive-p24-manafold-flight.webm: expected one archived video, got 0
checkarchive: FAIL renders/archive-p24-manafold-hasty.webm: expected one archived video, got 0
checkarchive: FAIL renders/archive-p24-manafold-hit.webm: expected one archived video, got 0
checkarchive: FAIL renders/archive-p24-manafold-hover.webm: expected one archived video, got 0
checkarchive: FAIL renders/archive-p24-manafold-inspect.webm: expected one archived video, got 0
checkarchive: FAIL renders/archive-p24-manafold-lasso.webm: expected one archived video, got 0
checkarchive: FAIL renders/archive-p24-manafold-pirouette.webm: expected one archived video, got 0
checkarchive: FAIL renders/archive-p24-manafold-rest.webm: expected one archived video, got 0
checkarchive: FAIL renders/archive-p24-manafold-startle.webm: expected one archived video, got 0
checkarchive: FAIL renders/archive-p24-manafold-taunt.webm: expected one archived video, got 0
checkarchive: FAIL renders/archive-p24-manafold-taunt2.webm: expected one archived video, got 0
checkarchive: FAIL renders/archive-p24-manafold-taunt3.webm: expected one archived video, got 0
checkarchive: FAIL renders/archive-p24-manafold-trick.webm: expected one archived video, got 0
