subject	frames	meanL_min	meanL_max	meanL_avg	delta_max	delta_p999	worst_pop_frame	seam_delta	seam_rank
manafold-blown	292	106.91	108.20	107.69	1.696	1.695	55	0.225	289/292
manafold-channel	420	48.96	52.97	50.94	2.502	2.501	123	1.787	50/420
manafold-crackle	600	109.66	115.06	112.18	3.946	3.873	5	3.481	11/600
manafold-curious	180	110.11	115.38	112.48	3.483	3.459	20	2.698	26/180
manafold-damage	464	109.83	114.47	112.45	7.197	7.162	30	2.713	73/464
manafold-death-drop	450	103.75	105.34	104.38	1.767	1.757	74	2.646	1/450
manafold-death-gutter	590	103.74	105.08	104.27	1.129	1.118	314	2.443	1/590
manafold-drift	300	88.73	89.72	89.29	2.646	2.302	299	0.675	187/300
manafold-fall	340	104.60	105.41	105.05	1.093	1.091	227	2.700	1/340
manafold-flight	352	89.09	92.75	90.88	2.700	2.455	351	1.831	18/352
manafold-hasty	240	89.14	89.95	89.58	1.043	1.001	239	4.473	1/240
manafold-hit	140	110.64	113.78	112.18	6.610	6.592	16	1.865	56/140
manafold-hover	600	107.78	114.89	110.99	3.830	3.829	1	3.671	4/600
manafold-inspect	600	108.17	118.84	113.62	5.796	5.757	5	5.714	3/600
manafold-lasso	336	110.33	115.35	112.70	5.035	5.015	216	3.210	121/336
manafold-pirouette	240	109.75	115.18	112.62	4.510	4.508	21	3.340	18/240
manafold-rest	400	111.09	114.85	112.93	3.613	3.568	5	3.217	9/400
manafold-startle	160	110.03	114.52	112.02	8.345	8.341	23	2.256	49/160
manafold-taunt	280	109.48	116.15	112.84	6.681	6.678	124	6.082	22/280
manafold-taunt2	240	109.44	115.22	112.33	6.389	6.386	84	5.623	22/240
manafold-taunt3	368	110.11	113.54	112.08	5.262	5.251	367	2.782	110/368
manafold-trick	400	104.16	109.43	106.74	5.931	5.903	218	0.917	374/400

# frames scanned: 7992
# FLAGS:
#   none
