# THE PER-BAKE-SLOT CENSUS. Every rate is PER SAMPLE, never a clip total:
# Hover is the longest clip in the bank and a summed path measures that.
# END/A is the owner's own comparison -- 'Hover's front ball is already
# right' -- and ANGr is the same ratio on the angular channel.
# Binary f2cc355b23945ed6fb45fee9feb74a92.

== UNDAMPED ==
back-ball damping: bank-wide 0 pm (-1 = the table decides), window 21 KEYS, clip table [slot 0 = 0 pm]
slot   smpls |  A mm/s  B mm/s  C mm/s ENDmm/s |  Adeg/s  Bdeg/s  Cdeg/s ENDdeg/s |  END/A   ANGr ENDjrms
0        600 |   8.904  14.697  18.514   0.988 |   2.166   2.539   3.285   2.339 |   0.11   1.08   0.291
1        300 |   9.253  15.365  16.561   1.800 |   2.100   2.685   2.856   2.073 |   0.19   0.99   0.500
2        420 |   5.384  10.513  11.333   1.946 |   1.562   2.001   1.741   1.091 |   0.36   0.70   0.357
3        180 |   6.211  13.258  13.569   1.474 |   1.928   1.747   1.590   1.246 |   0.24   0.65   0.375
4        160 |   5.124  10.082  15.021   1.871 |   1.551   2.506   2.453   1.234 |   0.37   0.80   1.731
5        400 |   6.748  12.964  13.571   0.769 |   2.157   2.482   2.565   1.815 |   0.11   0.84   0.145
6        240 |   5.003   9.194  10.789   1.837 |   1.507   2.024   1.568   1.142 |   0.37   0.76   0.589
7          4 |   0.000   0.000   0.000   0.000 |   0.000   0.000   0.000   0.000 |   0.00   0.00   0.000
8        240 |  12.867  21.471  23.442   3.053 |   2.465   2.812   2.933   2.414 |   0.24   0.98   1.386
9        340 |   4.171   8.828  11.211   0.837 |   1.131   1.624   1.472   0.849 |   0.20   0.75   0.741
10       140 |   4.819  15.635  12.174   1.187 |   2.402   2.619   1.885   1.018 |   0.25   0.42   1.534
11       280 |   8.926  15.781  17.928   3.501 |   1.971   2.216   2.042   1.492 |   0.39   0.76   1.798
12       240 |  12.539  19.488  24.043   3.736 |   2.138   2.455   2.074   1.871 |   0.30   0.88   2.107
13       400 |   5.590   9.784  12.492   0.764 |   0.870   1.030   1.042   0.725 |   0.14   0.83   0.798
14       464 |   2.907   9.199   8.510   4.501 |   1.554   1.649   1.403   0.804 |   1.55   0.52   4.897
15      1440 |   7.882  12.894  13.824   1.179 |   1.233   1.787   2.144   1.867 |   0.15   1.51   0.225
16       864 |   3.511   6.516   9.996   0.109 |   0.607   0.892   0.892   0.728 |   0.03   1.20   0.069
17       450 |   0.515   1.996   2.572   1.220 |   0.340   0.389   0.322   0.133 |   2.37   0.39   1.931
18       590 |   1.515   4.057   3.476   0.834 |   0.614   0.703   0.555   0.307 |   0.55   0.50   1.497
19       336 |   4.625   9.710   9.829   1.836 |   1.259   1.648   1.471   1.100 |   0.40   0.87   0.546
20       292 |   6.383  11.273  11.456   1.416 |   1.523   1.641   1.551   1.132 |   0.22   0.74   1.227
21       368 |   7.111   9.305  13.529   1.381 |   1.124   1.326   1.307   0.760 |   0.19   0.68   1.163
22       352 |   9.704  14.945  15.805   0.776 |   2.053   2.112   2.416   2.019 |   0.08   0.98   0.132
23       600 |   8.904  14.697  18.514   0.988 |   2.166   2.539   3.285   2.339 |   0.11   1.08   0.291

== SHIPPED (win 21 keys, bake slot 0 at 700 pm) ==
back-ball damping: bank-wide -1 pm (-1 = the table decides), window 21 KEYS, clip table [slot 0 = 700 pm]
slot   smpls |  A mm/s  B mm/s  C mm/s ENDmm/s |  Adeg/s  Bdeg/s  Cdeg/s ENDdeg/s |  END/A   ANGr ENDjrms
0        600 |   8.922  12.068  13.005   0.916 |   1.396   1.652   1.850   1.380 |   0.10   0.99   0.274
1        300 |   9.253  15.365  16.561   1.800 |   2.100   2.685   2.856   2.073 |   0.19   0.99   0.500
2        420 |   5.384  10.513  11.333   1.946 |   1.562   2.001   1.741   1.091 |   0.36   0.70   0.357
3        180 |   6.211  13.258  13.569   1.474 |   1.928   1.747   1.590   1.246 |   0.24   0.65   0.375
4        160 |   5.124  10.082  15.021   1.871 |   1.551   2.506   2.453   1.234 |   0.37   0.80   1.731
5        400 |   6.748  12.964  13.571   0.769 |   2.157   2.482   2.565   1.815 |   0.11   0.84   0.145
6        240 |   5.003   9.194  10.789   1.837 |   1.507   2.024   1.568   1.142 |   0.37   0.76   0.589
7          4 |   0.000   0.000   0.000   0.000 |   0.000   0.000   0.000   0.000 |   0.00   0.00   0.000
8        240 |  12.867  21.471  23.442   3.053 |   2.465   2.812   2.933   2.414 |   0.24   0.98   1.386
9        340 |   4.171   8.828  11.211   0.837 |   1.131   1.624   1.472   0.849 |   0.20   0.75   0.741
