# Manafold pass-26 EXACT BANK - one renderer, 22 live subjects, ONE invocation.
# Production ink: ZIXX_EXP=celmain ZIXX_LIGHT=diagonal-cool-cross.
# NO ZHAO_U02_* override of any kind was set; the environment was verified empty
# of them before the call. Exit code read directly from the command: BANK_RC=0.
#
# renderer  : .tmp/p26-review/build/bin/zhao-reel-cel.exe
#   md5     : b822bb9bd7ceb8f0b921623566b26169
#   sha256  : 98459381a2ef0b3eb10a9f46be46d146a3f87cce8848c1086d4a1b5add8d6a6a
#   built by the INDEPENDENT REVIEWER with tools/reel/build-direct.sh and the
#   zhao-env.ps1 toolchain (g++ 16.1.0 MinGW-W64 ucrt). No CMake was used.
# source sha: 52fff853d8b6454f113f56a2c95033b20dffe380  (zhaozhou, branch manafold-pass26)
#
# subject: frames, sequence_crc32c
manafold-blown: 292 frames, sequence_crc32c=0x2589D260
manafold-channel: 420 frames, sequence_crc32c=0x148A6D26
manafold-crackle: 600 frames, sequence_crc32c=0x370F7F3E
manafold-curious: 180 frames, sequence_crc32c=0x0FADAD4A
manafold-damage: 464 frames, sequence_crc32c=0x280C18B5
manafold-death-drop: 450 frames, sequence_crc32c=0xF8FB62E4
manafold-death-gutter: 590 frames, sequence_crc32c=0xC809393A
manafold-drift: 300 frames, sequence_crc32c=0x7E79CF0D
manafold-fall: 340 frames, sequence_crc32c=0x00EFD9A0
manafold-flight: 352 frames, sequence_crc32c=0x39FB01E0
manafold-hasty: 240 frames, sequence_crc32c=0xD7FA75A4
manafold-hit: 140 frames, sequence_crc32c=0xAD1D60BB
manafold-hover: 600 frames, sequence_crc32c=0x89EBA648
manafold-inspect: 600 frames, sequence_crc32c=0x3A179F08
manafold-lasso: 336 frames, sequence_crc32c=0x8B697508
manafold-pirouette: 240 frames, sequence_crc32c=0x8EDBFD33
manafold-rest: 400 frames, sequence_crc32c=0xDA5BE66B
manafold-startle: 160 frames, sequence_crc32c=0x7F5A8C07
manafold-taunt2: 240 frames, sequence_crc32c=0x23502CC5
manafold-taunt3: 368 frames, sequence_crc32c=0xF72CA961
manafold-taunt: 280 frames, sequence_crc32c=0x8A507701
manafold-trick: 400 frames, sequence_crc32c=0x8D40D834
