FULL 22-SUBJECT BANK, one invocation per binary.

pass 25 = git f66d107c, detached worktree, zhao-reel-cel.exe md5 2749bb7a48a35572f608ccb73a33cb25
pass 26 = working tree,                zhao-reel-cel.exe md5 a6cc688b451e800150ce571cf51e4363
both at ZIXX_EXP=celmain ZIXX_LIGHT=diagonal-cool-cross.

subject                     frames  differ  verdict
manafold-blown                 292       0  BYTE-IDENTICAL
manafold-channel               420       0  BYTE-IDENTICAL
manafold-crackle               600       0  BYTE-IDENTICAL
manafold-curious               180       0  BYTE-IDENTICAL
manafold-damage                464       0  BYTE-IDENTICAL
manafold-death-drop            450       0  BYTE-IDENTICAL
manafold-death-gutter          590       0  BYTE-IDENTICAL
manafold-drift                 300       0  BYTE-IDENTICAL
manafold-fall                  340       0  BYTE-IDENTICAL
manafold-flight                352       0  BYTE-IDENTICAL
manafold-hasty                 240     240  CHANGED (this pass's subject)
manafold-hit                   140       0  BYTE-IDENTICAL
manafold-hover                 600       0  BYTE-IDENTICAL
manafold-inspect               600       0  BYTE-IDENTICAL
manafold-lasso                 336       0  BYTE-IDENTICAL
manafold-pirouette             240       0  BYTE-IDENTICAL
manafold-rest                  400       0  BYTE-IDENTICAL
manafold-startle               160       0  BYTE-IDENTICAL
manafold-taunt                 280       0  BYTE-IDENTICAL
manafold-taunt2                240       0  BYTE-IDENTICAL
manafold-taunt3                368       0  BYTE-IDENTICAL
manafold-trick                 400       0  BYTE-IDENTICAL

subjects 22, frames 7992, frames differing 240
UNEXPECTED changes: none -- 21 of 22 subjects byte-identical
